,bug_id,max_pos,max_neg,overall,owner_neg,manager_neg
0,1044233,2,-2,1,-2,0
1,1042098,2,-2,0,0,0
2,1045886,3,-4,-1,-3,-2
3,1042092,2,-3,-4,0,0
4,1043900,2,-3,0,0,0
