bug_id,LOC,avg_cyclomatic,cnt_func,maxnesting,ratio_comment,page_rank,betweenness,closeness,indegree,outdegree
1067191,6768.0,5.0,232.0,6.0,0.15,27.92,2302288.33,1.92,155.0,122.0
1074664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072313,610.81,1.56,36.81,1.75,0.15,2.49,207992.4,1.1,10.12,12.42
1066410,674.5,2.5,17.5,3.5,0.25,1.5,662.93,1.92,4.2,32.2
1074189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1073215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1072743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074048,639.0,1.0,8.0,0.0,2.69,3.59,136004.28,1.92,24.5,33.5
1071704,819.0,5.0,12.0,4.0,0.38,1.4,48.57,1.21,1.0,12.0
1068962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070755,1807.0,2.0,64.0,3.0,0.08,1.58,83640.66,1.88,4.0,37.0
1070086,1736.5,3.25,95.25,2.0,0.07,2.53,1303.28,1.43,9.17,11.33
1066775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1071241,1437.0,2.0,104.0,3.0,0.13,1.6,15780.53,1.21,5.0,21.0
1074570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1071217,2049.0,4.0,94.0,5.0,0.14,16.5,1166301.26,1.91,132.0,62.0
1074416,2412.5,4.0,107.5,4.0,0.23,16.25,1107717.49,1.25,6.4,23.0
1071774,809.0,3.0,39.0,4.0,0.1,1.71,3856.71,1.21,4.0,16.0
1068603,524.0,3.0,21.0,5.0,0.36,1.34,0.0,1.88,0.0,8.0
1066319,1989.5,7.5,33.5,3.5,0.05,1.4,304.18,1.21,0.5,13.0
1066509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1070962,1131.0,1.97,51.56,2.12,0.31,8.65,136815.05,1.82,24.25,33.3
