Code churn,Test churn,Prior changes,Average cyclomatic,Number of functions,Comment ratio,Closeness,Betweenness,PageRank,Number of comments,Developer exp.,Reviewer exp.,Review duration,Developer sentiment,Owner sentiment,LOC,Maximum nesting,Comment words,Landing delta,Module number,Response delta,Release delta
344.0,0.0,1462.0,0.0,0.0,0.0,0.43,0.0,1.16,68,68.0,1.0,9.5,-5,-4,0.0,0.0,13.0,-0.0571643518519,2.0,0.950462962963,14.0446064815
92.0,0.0,886.0,4.0,91.0,0.07,1.12,93178.71,2.07,58,11.0,34.0,0.56,-2,0,2316.0,6.0,1.5,0.0953240740741,2.0,0.774525462963,12.3267361111
22.0,0.0,376.0,4.0,83.0,0.07,1.13,90994.25,2.05,32,36.0,27.0,0.89,-4,-2,2148.0,6.0,29.0,2.93775462963,1.0,2.93876157407,27.4046990741
517.0,0.0,3844.0,1.73,80.45,0.22,1.49,284597.28,2.52,129,88.0,38.0,152.84,-4,-4,1405.0,2.45,54.17,-4.97958333333,7.0,0.436388888889,7.29353009259
222.0,0.0,2271.0,5.0,100.0,0.15,1.74,353235.06,3.9,30,30.0,34.0,2.31,-2,-2,4766.0,6.0,15.25,-0.828981481481,3.0,1.06865740741,18.5181944444
122.0,0.0,212.0,5.0,16.75,0.23,1.26,5101.98,2.27,115,23.0,17.0,10.29,-3,-2,785.5,3.75,29.33,-2.08759259259,3.0,-20.2250115741,11.6675925926
371.0,0.0,915.0,3.73,14.2,0.46,1.32,4027.54,1.74,32,100.0,0.0,2.04,-2,0,348.27,2.83,47.67,-0.377256944444,2.0,0.625266203704,13.2657060185
53.0,0.0,6.0,2.0,17.0,0.45,1.18,7639.65,2.79,21,1.0,2.0,16.42,-3,0,726.0,2.0,18.0,8.46685185185,1.0,0.118125,0.793912037037
82.0,0.0,137.0,4.67,15.0,0.27,1.45,5024.62,3.81,27,13.0,0.0,0.11,-3,0,609.67,3.67,0.0,1.18252314815,2.0,0.0671990740741,13.6061689815
39.0,0.0,341.0,2.5,60.0,0.07,1.12,182662.6,1.64,50,13.0,1.0,11.23,-5,-2,1015.0,3.5,0.0,1.64553240741,1.0,0.00658564814815,17.8047222222
8.0,0.0,21.0,3.0,13.0,0.08,1.64,20.61,1.2,36,0.0,0.0,16.68,-3,0,241.0,2.0,28.0,11.0659490741,1.0,6.91052083333,13.779375
17.0,0.0,131.0,3.5,29.0,0.15,1.84,183333.15,1.61,47,16.0,1.0,17.52,-2,-1,889.5,2.5,14.5,1.27854166667,1.0,2.72673611111,1.20047453704
14.0,0.0,1128.0,2.0,18.0,0.1,1.66,0.0,1.24,25,34.0,12.0,7.9,-3,0,249.0,4.0,0.0,33.4672685185,2.0,5.06572916667,23.6830671296
136.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,34,34.0,5.0,12.56,-5,0,0.0,0.0,11.4,4.45951388889,1.0,0.385601851852,13.3523263889
90.0,0.0,315.0,3.67,40.0,0.13,1.89,25797.01,1.6,83,3.0,9.0,1.11,-4,-4,1016.67,3.0,0.0,-0.172060185185,2.0,0.440439814815,26.4174305556
36.0,0.0,863.0,4.0,166.0,0.23,1.44,449310.45,2.64,36,26.0,0.0,3.96,-4,-1,5453.0,5.33,0.0,-73.1070601852,3.0,2.91083333333,30.4796759259
124.0,0.0,1036.0,3.5,61.0,0.06,1.26,65369.02,1.64,101,68.0,169.0,5.06,-3,-2,1521.5,4.5,0.0,-0.238900462963,5.0,1.13579861111,19.5176388889
271.0,0.0,2546.0,0.0,0.0,0.0,0.0,0.0,0.0,44,323.0,565.0,8.69,-3,0,0.0,0.0,30.33,-0.538553240741,3.0,0.0109027777778,13.8292476852
111.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,28,4.0,0.0,0.2,-3,-3,0.0,0.0,31.0,-0.0271643518519,2.0,0.932476851852,21.4291319444
