Code churn,Test churn,Prior changes,Average cyclomatic,Number of functions,Comment ratio,Closeness,Betweenness,PageRank,Number of comments,Developer exp.,Reviewer exp.,Review duration,Developer sentiment,Owner sentiment,LOC,Maximum nesting,Comment words,Landing delta,Module number,Response delta,Release delta
14.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,17,8.0,0.0,30.78,-4,-4,0.0,0.0,20.0,0.0804513888889,1.0,5.97821759259,17.6394907407
17.0,0.0,8.0,1.0,7.0,0.11,1.65,0.15,1.35,11,2.0,0.0,3.72,-2,0,71.0,1.0,0.0,0.0390046296296,1.0,3.43064814815,22.5986574074
17.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3.0,0.0,0.25,-2,0,0.0,0.0,0.0,5.04039351852,1.0,1.90335648148,9.3934375
602.0,0.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,33,135.0,27.0,0.44,-4,0,0.0,0.0,20.33,-3.73652777778,2.0,0.770532407407,27.2756712963
183.0,132.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,11,59.0,0.0,1.48,-2,0,0.0,0.0,0.0,0.504652777778,1.0,0.0779398148148,22.3666435185
22.0,0.0,192.0,1.0,188.0,0.45,1.77,693251.02,235.1,23,0.0,0.0,0.26,-4,-2,2103.0,3.0,0.0,-4.25694444444,1.0,4.31599537037,26.6183449074
17.0,0.0,23.0,4.0,25.0,0.13,1.88,1658.81,2.7,19,0.0,0.0,0.48,-2,0,610.0,5.0,0.0,33.0909375,1.0,0.694155092593,12.4758912037
22.0,0.0,89.0,5.0,39.0,0.03,1.66,880.46,1.27,13,0.0,27.0,452.78,-2,0,877.0,3.0,8.5,2.56716435185,1.0,0.100347222222,0.310046296296
1237.0,0.0,23.0,0.0,0.0,0.0,0.49,0.0,1.34,11,2.0,8.0,21.28,-1,-1,0.0,0.0,1.0,26.5181018519,1.0,2.75886574074,1.23854166667
222.0,0.0,953.0,2.2,52.6,0.16,1.88,105202.19,2.56,26,35.0,21.0,19.17,-3,-1,1582.6,2.0,118.0,-0.134224537037,2.0,0.139108796296,28.6719560185
72.0,0.0,651.0,2.0,38.5,0.08,1.39,64852.04,1.84,16,45.0,231.0,49.23,-2,-2,588.0,2.5,33.0,15.162974537,3.0,0.749837962963,4.59340277778
30.0,34.0,1605.0,5.0,275.0,0.23,1.64,829308.64,22.28,23,113.0,35.0,10.59,-2,-2,10371.0,9.0,0.0,5.61072916667,1.0,0.83681712963,28.2641319444
244.0,0.0,2297.0,3.64,64.0,0.17,1.38,371268.11,5.95,35,19.0,10.0,5.95,-3,-3,1632.27,3.82,0.0,2.32083333333,10.0,0.0245949074074,24.412650463
44.0,18.0,3045.0,3.0,258.67,0.36,1.91,1809165.18,27.91,41,666.0,128.0,26.1,-3,-2,6271.33,5.33,0.0,3.25128472222,1.0,0.0517939814815,41.3800115741
127.0,0.0,75.0,4.0,550.0,0.04,1.83,0.0,1.35,29,24.0,2.0,0.06,-4,-4,17226.0,7.0,0.0,1.17407407407,1.0,1.81833333333,0.417638888889
173.0,0.0,2400.0,5.6,125.2,0.25,1.79,60456.83,4.7,58,77.0,246.0,23.73,-4,-3,4223.8,5.2,22.83,-0.707743055556,1.0,1.26270833333,9.19412037037
396.0,0.0,1053.0,1.6,48.5,0.3,1.67,170303.21,21.34,29,65.0,0.0,9.44,-4,0,609.2,1.8,14.0,1.68606481481,2.0,3.91924768519,5.86903935185
12.0,0.0,237.0,3.0,132.0,0.06,1.76,1674.25,1.42,16,20.0,13.0,216.75,-2,0,2488.0,7.0,0.0,8.39372685185,1.0,0.432395833333,24.8928356481
113.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,25,14.0,10.0,30.85,-4,-1,0.0,0.0,10.0,2.35611111111,2.0,2.76237268519,17.5118171296
542.0,28.0,478.0,4.0,95.0,0.17,1.79,948.26,1.38,58,92.0,103.0,7.04,-4,-1,2475.0,6.0,7.0,25.502337963,3.0,0.051875,14.735462963
17.0,0.0,1349.0,6.0,436.0,0.22,1.66,479261.19,4.02,20,57.0,88.0,6.41,-3,-3,14175.0,7.0,0.0,-0.835335648148,1.0,1.84689814815,5.69078703704
39.0,0.0,941.0,3.0,21.67,0.25,1.84,2064.44,5.11,27,73.0,294.0,86.68,-4,-3,444.0,3.0,41.0,3.14618055556,2.0,0.013912037037,10.6175925926
18.0,0.0,2676.0,0.0,0.0,0.0,0.0,0.0,0.0,35,6.0,60.0,11.64,-2,-1,0.0,0.0,0.0,27.4952777778,2.0,3.01761574074,3.26023148148
616.0,0.0,6871.0,1.65,127.57,0.22,1.37,316144.22,9.74,56,256.0,658.0,8.03,-4,-4,1700.09,1.61,9.73,-171.562685185,4.0,0.0198842592593,16.4273726852
9.0,0.0,906.0,7.0,152.0,0.21,1.64,455931.11,5.11,10,141.0,15.0,0.18,-2,0,3871.0,6.0,22.0,-0.331469907407,1.0,0.688125,13.7835300926
34.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,20,43.0,0.0,73.28,-3,0,0.0,0.0,0.0,-0.543773148148,1.0,0.342638888889,16.9977083333
17.0,0.0,119.0,4.0,42.0,0.16,1.83,2481.41,1.54,20,1.0,15.0,0.34,-4,-4,813.0,3.0,10.0,-2.33364583333,1.0,0.303483796296,3.63756944444
8.0,49.0,44.0,4.0,13.0,0.23,1.16,7637.45,1.65,17,14.0,0.0,22.59,-3,-3,351.0,3.0,0.0,-1.2333912037,2.0,2.78372685185,13.3888541667
55.0,0.0,199.0,2.33,35.33,0.23,1.74,126914.56,1.55,22,115.0,2.0,0.3,-2,-2,947.0,3.0,0.0,-0.443148148148,2.0,0.133541666667,33.7452199074
65.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,25,3.0,0.0,38.36,-2,0,0.0,0.0,0.0,5.64179398148,1.0,2.25694444444,9.68412037037
18.0,0.0,98.0,4.0,35.0,0.18,1.16,75.41,1.38,18,6.0,0.0,0.04,-2,-2,1203.0,6.0,2.0,-0.563229166667,1.0,1.24356481481,13.0159490741
9.0,0.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,24,5.0,0.0,0.63,-3,-3,0.0,0.0,27.0,0.00800925925926,1.0,0.327604166667,32.2903125
28.0,0.0,18.0,1.0,2.5,0.32,1.77,233906.99,2.87,14,1.0,7.0,0.28,-3,-3,145.5,0.5,22.0,0.388726851852,1.0,0.155393518519,6.05836805556
11.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,21,5.0,6.0,67.78,-3,-1,0.0,0.0,17.0,22.1776967593,1.0,5.21675925926,4.65019675926
23.0,0.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,15,39.0,9.0,0.44,-2,0,0.0,0.0,1.0,1.98520833333,1.0,2.76840277778,5.33520833333
8.0,0.0,677.0,0.0,0.0,0.0,0.0,0.0,0.0,29,10.0,113.0,5.56,-2,-2,0.0,0.0,0.0,-0.94505787037,1.0,0.909513888889,18.5986458333
20.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,19,18.0,3.0,4.05,-2,-2,0.0,0.0,0.0,-0.315324074074,1.0,0.681944444444,1.9981712963
9.0,0.0,30.0,5.0,29.0,0.03,1.76,32304.34,4.34,11,7.0,0.0,9.67,-2,0,742.0,4.0,0.0,-0.683680555556,1.0,1.30944444444,7.15228009259
30.0,29.0,382.0,2.5,59.0,0.32,1.33,216939.0,3.7,33,144.0,10.0,36.48,-4,-4,1366.0,2.5,0.0,-0.268032407407,1.0,2.18920138889,19.7702777778
23.0,0.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,5,8.0,884.0,0.25,-2,0,0.0,0.0,0.0,0.0,1.0,1.80652777778,13.5667592593
123.0,14.0,223.0,3.0,30.5,0.24,1.77,1276.02,1.49,17,3.0,0.0,7.63,-2,-1,684.5,4.0,20.0,32.294525463,2.0,0.98681712963,13.5272916667
12.0,0.0,18.0,3.0,85.0,0.04,1.77,21204.38,2.77,20,0.0,3.0,-0.49,-3,0,1231.0,5.0,0.0,0.0157407407407,1.0,0.10712962963,0.494444444444
