Uplift ID,Fault ID,Severity
1205456,1209843,S
1198435,1266926,U
1063048,1137716,S
1160295,1195844,
1185115,1216748,S
1185639,1189709,U
1154683,1158568,
1147857,1153056,U
1149605,1275853,U
1141081,1235573,
1151309,1180105,
1133119,1224976,
1083079,1130681,S
1044975,1087270^1251894,U
1205083,1273691^1257028,U
1159973,1195578,U
1151821,1161642,U
