node,page_rank,betweenness,closeness,indegree,outdegree
modules/zlib/src/zutil,9.496,124504.874,2.292,10,11
layout/base/nsIDocumentViewerPrint,1.688,415.979,2.293,3,7
content/events/src/nsDOMEvent,5.12,57269.882,2.293,54,58
skia/SkDashPathEffect,1.535,0.0,0.587,0,0
ipc/glue/ProcessChild,1.535,0.0,2.293,0,5
sys/isa_defs,1.535,0.0,0.587,0,0
media/libtheora/include/theora/theoradec,2.333,1.367,2.292,6,4
nsprpub/pr/tests/dceemu,1.535,0.0,2.292,0,3
gfx/layers/d3d10/ColorLayerD3D10,1.769,1.625,2.292,2,8
media/webrtc/trunk/webrtc/modules/audio_coding/main/source/acm_amr,1.664,0.0,2.292,1,11
security/nss/lib/ssl/sslsnce,1.731,33148.815,2.293,5,43
js/src/methodjit/NunboxAssembler,1.535,0.0,0.587,0,0
js/xpconnect/src/XPCThrower,2.847,1688.871,2.293,20,13
ApplicationServices/ApplicationServices,1.535,0.0,0.587,0,0
nsILocaleService,1.535,0.0,0.587,0,0
media/webrtc/trunk/webrtc/modules/video_coding/main/source/exp_filter,13.504,0.0,2.292,3,1
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/ilbc/energy_inverse,1.933,2.0,2.292,2,5
widget/gtk2/nsIImageToPixbuf,1.868,0.357,2.293,5,3
intl/icu/source/tools/toolutil/udbgutil,1.919,21732.261,2.293,5,30
layout/base/RestyleTracker,2.158,11355.947,2.293,10,22
gdk/gdkkeysyms,1.535,0.0,0.587,0,0
media/webrtc/trunk/testing/gtest/test/gtest_pred_impl_unittest,2.511,758.169,2.293,6,4
dom/plugins/base/nsPluginNativeWindowQt,1.535,0.0,2.293,0,5
media/webvtt/include/webvtt/node,4.192,0.0,2.292,6,2
other-licenses/7zstub/src/7zip/Archive/7z/7zMethodID,3.542,4269.515,2.292,7,5
content/media/ogg/OggDecoder,2.005,380.235,2.293,2,4
security/nss/lib/ckfw/nssmkey/minst,1.97,699.37,2.292,1,7
security/nss/lib/pki/pkim,2.924,2841.862,2.293,15,10
security/nss/lib/freebl/mpi/mpprime,16.631,54600.722,2.292,21,8
dom/base/nsWrapperCache,16.918,3040.957,2.293,136,4
security/nss/lib/ckfw/capi/constants,2.176,5.5,2.292,3,4
gfx/cairo/cairo/src/cairo-quartz-private,1.778,0.0,2.292,3,1
intl/icu/source/common/ucnv,4.228,243320.88,2.293,25,29
gfx/skia/src/gpu/effects/GrColorTableEffect,1.609,91.266,2.293,2,24
media/webrtc/signaling/src/softphonewrapper/CC_SIPCCService,1.972,334955.564,2.293,5,51
media/webrtc/signaling/src/sipcc/core/ccapp/capability_set,2.16,26.503,2.292,5,9
netwerk/test/ReadNTLM,1.535,0.0,2.293,0,5
mozilla/dom/SVGFEDistantLightElement,1.535,0.0,0.587,0,0
toolkit/crashreporter/google-breakpad/src/common/mac/macho_walker,2.919,4.083,2.292,2,3
mozilla/dom/SVGFETileElement,1.535,0.0,0.587,0,0
media/libopus/silk/fixed/vector_ops_FIX,2.526,0.667,2.292,6,4
ipc/chromium/src/base/message_pump_default,2.554,7241.889,2.293,3,8
modules/freetype2/include/freetype/ftoutln,4.202,4984.472,2.293,22,8
mozilla/_ipdltest/PTestLatencyParent,1.535,0.0,0.587,0,0
toolkit/crashreporter/google-breakpad/src/processor/address_map_unittest,1.535,0.0,2.293,0,6
dom/base/nsLocation,1.618,148.822,2.293,3,35
security/nss/lib/ssl/sslerrstrs,1.733,11834.789,2.293,1,10
media/libopus/silk/float/find_LTP_FLP,1.632,58.167,2.292,1,13
media/webrtc/trunk/tools/gyp/test/msvs/list_excluded/hello,1.535,0.0,0.587,0,0
gfx/skia/src/gpu/gl/GrGLStencilBuffer,1.818,817.405,2.292,3,13
modules/freetype2/src/base/ftgasp,1.535,0.0,2.292,0,7
content/svg/content/src/SVGIntegerPairSMILType,1.866,1783.949,2.293,2,7
gfx/skia/include/core/SkTSearch,9.668,0.799,2.292,27,3
layout/base/nsCounterManager,1.657,856.551,2.293,3,19
xpcom/reflect/xptcall/src/md/unix/xptcstubs_ppc_aix,1.535,0.0,2.292,0,2
layout/printing/nsPrintData,1.641,0.239,2.293,2,16
sys/socket,1.535,0.0,0.587,0,0
media/webrtc/signaling/src/sipcc/cpr/include/cpr_ipc,9.229,0.093,2.292,23,1
security/nss/cmd/modutil/install-ds,2.38,725.795,2.293,4,9
nsIDOMSerializer,1.535,0.0,0.587,0,0
toolkit/crashreporter/google-breakpad/src/tools/linux/md2core/minidump-2-core,1.535,0.0,2.293,0,14
ipc/chromium/src/base/pr_time_unittest,1.535,0.0,2.293,0,10
netwerk/srtp/src/crypto/replay/rdbx,1.75,31713.0,2.293,2,5
security/nss/lib/ckfw/capi/crsa,1.825,2588.373,2.292,2,11
gfx/skia/include/gpu/GrInstanceCounter,4.842,0.0,2.292,1,3
