node,page_rank,betweenness,closeness,indegree,outdegree
content/media/webspeech/recognition/SpeechRecognitionResult,1.638,366.596,1.991,3,18
security/nss/lib/pk11wrap/pk11util,2.742,262632.644,1.991,24,27
accessible/src/xul/XULFormControlAccessible,1.602,110.62,1.991,2,36
nsPILoadGroupInternal,1.411,0.0,0.518,0,0
dom/audiochannel/AudioChannelService,2.368,437382.472,1.991,16,28
build/stlport/stlport/stl/_cwchar,400.994,2961839.409,1.991,20,7
security/nss/lib/freebl/mpi/mpi,80.878,536475.486,1.99,85,13
layout/xul/nsStackFrame,1.481,0.0,1.991,1,18
mozilla/ipc/MessageLink,1.411,0.0,0.518,0,0
toolkit/components/reflect/reflect,1.509,0.0,1.991,1,13
gfx/2d/ScaledFontCairo,1.646,41535.764,1.99,2,8
widget/gonk/nativewindow/GonkNativeWindowICS,1.522,516.896,1.991,2,28
toolkit/crashreporter/google-breakpad/src/common/stabs_to_module_unittest,1.411,0.0,1.99,0,7
gfx/skia/trunk/src/animator/SkAnimatorScript2,1.645,301.616,1.991,3,30
toolkit/components/url-classifier/LookupCache,1.668,1650.763,1.991,5,26
media/webrtc/trunk/webrtc/modules/audio_coding/main/test/EncodeDecodeTest,1.564,79.42,1.991,2,18
mozilla/dom/SVGFEDistantLightElementBinding,1.411,0.0,0.518,0,0
media/webrtc/trunk/webrtc/common_audio/resampler/include/push_resampler,2.999,410.544,1.99,8,2
netwerk/base/src/nsURLHelper,3.339,9731.011,1.991,27,19
nsprpub/pr/include/prmon,14.5,2420.948,1.991,29,3
nsIRDFXMLSource,1.411,0.0,0.518,0,0
netwerk/sctp/src/netinet/sctp_pcb,6.02,94248.133,1.991,20,24
gfx/thebes/d3dkmtQueryStatistics,1.476,0.0,1.99,1,0
media/stagefright/MPEG4Writer,1.411,0.0,0.518,0,0
gfx/2d/SourceSurfaceCG,3.258,84463.136,1.991,18,8
media/webrtc/trunk/webrtc/common_video/test/frame_generator,1.755,213.232,1.991,3,7
content/base/src/NodeIterator,1.47,0.0,1.991,1,21
cns5,1.411,0.0,0.518,0,0
mfbt/tests/TestIntegerPrintfMacros,1.411,0.0,1.991,0,1
dom/xslt/xslt/txFormatNumberFunctionCall,1.556,2744.877,1.991,3,19
modules/freetype2/src/cache/ftcsbits,1.855,2442.986,1.99,4,17
content/base/public/nsIDocumentObserver,5.567,4279.105,1.991,37,10
media/webrtc/trunk/webrtc/modules/video_coding/main/test/video_source,2.009,3535.108,1.991,5,8
security/nss/lib/freebl/sha256,2.346,0.111,1.99,3,1
d3d10_1,1.411,0.0,0.518,0,0
nsILoadGroup,1.411,0.0,0.518,0,0
content/canvas/public/DocumentRendererParent,1.411,0.0,1.991,0,5
nsIApplicationReputation,1.411,0.0,0.518,0,0
intl/icu/source/i18n/tzfmt,1.482,47482.989,1.991,2,52
media/libvpx/vp8/common/arm/dequantize_arm,1.411,0.0,1.99,0,3
toolkit/crashreporter/google-breakpad/src/client/windows/crash_generation/client_info,3.064,14809.666,1.991,10,5
build/stlport/stlport/stl/pointers/_tools,37.184,14822.648,1.99,5,1
intl/strres/src/nsStringBundleTextOverride,1.601,1200.993,1.991,3,17
widget/windows/winrt/MetroInput,1.69,422227.516,1.991,3,27
gfx/cairo/cairo/src/cairo-image-surface,15.055,266302.637,1.991,48,53
media/webrtc/trunk/tools/gyp/test/rules/src/subdir3/program,1.411,0.0,0.518,0,0
other-licenses/7zstub/src/7zip/Archive/7z/7zCompressionMode,1.481,0.0,1.99,1,6
AccessibleStates,1.411,0.0,0.518,0,0
mozilla/dom/FragmentOrElement,1.411,0.0,0.518,0,0
js/xpconnect/src/XPCForwards,1.759,0.0,1.99,2,0
python/mozbuild/mozbuild/test/backend/data/exports/pprio,1.411,0.0,0.518,0,0
security/manager/ssl/src/nsDataSignatureVerifier,1.497,44.535,1.991,2,23
mozilla/css/Loader,1.411,0.0,0.518,0,0
mozilla/PodOperations,1.411,0.0,0.518,0,0
build/stlport/src/monetary,1.411,0.0,1.99,0,3
media/webrtc/signaling/src/sipcc/core/sdp/sdp_config,1.694,0.5,1.99,3,4
dom/ipc/TabContext,1.772,0.225,1.991,4,6
js/src/yarr/PageAllocation,11.505,40097.9,1.99,9,6
gfx/skia/trunk/src/gpu/GrAllocPool,1.849,0.0,1.991,3,5
intl/icu/source/i18n/dtrule,1.69,0.333,1.99,4,8
tlhelp32,1.411,0.0,0.518,0,0
gfx/skia/trunk/src/pdf/SkPDFFormXObject,1.652,222.364,1.991,5,17
media/webrtc/trunk/webrtc/modules/audio_processing/aec/echo_cancellation_unittest,1.411,0.0,1.99,0,5
mozilla/dom/HTMLIFrameElement,1.411,0.0,0.518,0,0
gfx/skia/trunk/src/animator/SkDisplayAdd,1.624,1.528,1.991,3,15
dom/events/nsDOMKeyNameList,3.14,84781.886,1.99,2,1
security/insanity/lib/pkixcheck,1.62,843.553,1.991,4,26
media/webrtc/trunk/webrtc/test/testsupport/fileutils,17.468,3528.337,1.991,96,4
media/webrtc/trunk/webrtc/system_wrappers/source/rw_lock_win,1.791,0.0,1.99,1,4
js/src/gc/RootMarking,2.015,191.992,1.991,2,34
gfx/angle/src/libGLESv2/Constants,2.312,0.0,1.99,7,0
intl/lwbrk/src/nsSemanticUnitScanner,1.72,102.276,1.991,2,6
intl/icu/source/common/uinvchar,6.982,2836.257,1.991,59,12
media/libvorbis/lib/modes/setup_11,1.918,30.828,1.99,1,7
js/src/jsapi-tests/testUncaughtError,1.411,0.0,1.99,0,6
build/stlport/src/details/fstream_unistd,1.582,232.498,1.99,1,8
modules/freetype2/src/base/ftobjs,7.384,208394.291,1.991,57,26
dom/plugins/ipc/ChildTimer,1.631,7.376,1.991,2,8
mozilla/dom/network/Connection,1.411,0.0,0.518,0,0
