node,page_rank,betweenness,closeness,indegree,outdegree
modules/zlib/src/zutil,68.216,69040.002,3.497,19,9
layout/base/nsIDocumentViewerPrint,2.91,114.521,3.497,3,9
content/events/src/nsDOMEvent,8.681,28967.523,3.497,47,37
content/events/src/nsEventDispatcher,2.92,181714.593,3.497,3,59
ipc/glue/ProcessChild,3.829,89.184,3.497,1,5
js/src/methodjit/PunboxAssembler,2.687,0.0,0.952,0,0
media/libtheora/include/theora/theoradec,4.039,1.95,3.497,6,4
js/src/nanojit/Fragmento,6.108,3428.0,3.496,3,1
gfx/layers/d3d10/ColorLayerD3D10,3.127,6.956,3.497,2,8
memory/mozalloc/mozalloc_undef_macro_wrappers,2.687,0.0,0.952,0,0
security/nss/lib/ssl/sslsnce,3.012,21892.825,3.497,5,48
js/src/methodjit/NunboxAssembler,2.687,0.0,0.952,0,0
ApplicationServices/ApplicationServices,2.687,0.0,0.952,0,0
nsILocaleService,2.687,0.0,0.952,0,0
extensions/spellcheck/hunspell/src/baseaffix,3.258,0.0,3.496,2,2
layout/svg/base/src/nsSVGContainerFrame,4.964,2949.716,3.497,24,25
js/src/nanojit/Containers,3.475,0.0,3.495,1,2
netwerk/wifi/nsWifiAccessPoint,3.704,4547.186,3.497,6,18
ipc/app/MozillaRuntimeMain,2.687,0.0,3.497,0,4
xpcom/tests/TestPipe,2.687,0.0,3.497,0,14
nsIFileStreams,2.687,0.0,0.952,0,0
security/nss/lib/pki/symmkey,2.687,0.0,3.497,0,5
layout/base/RestyleTracker,2.971,1.394,3.497,3,17
modules/libimg/png/pngconf,34.193,36606.428,3.497,20,5
js/src/prmjtime,9.389,47.372,3.497,10,8
js/src/ctypes/Library,3.037,0.0,3.497,2,13
dom/plugins/base/nsPluginNativeWindowQt,2.687,0.0,3.497,0,7
nsISSLSocketControl,2.687,0.0,0.952,0,0
xpcom/tests/TestStreamUtils,2.687,0.0,3.497,0,8
nsIDOMNameList,2.687,0.0,0.952,0,0
security/nss/lib/pki/pkim,7.664,11712.509,3.497,15,10
intl/uconv/ucvlatin/viscii,2.687,0.0,0.952,0,0
dom/base/nsWrapperCache,9.617,4273.431,3.497,28,7
ipc/chromium/src/base/lock_impl_posix,2.687,0.0,3.496,0,2
security/nss/lib/ckfw/capi/constants,3.809,5.5,3.497,3,4
gfx/cairo/cairo/src/cairo-quartz-private,3.137,0.0,3.496,3,1
security/nss/lib/zlib/gzclose,7.466,3166.929,3.496,2,7
other-licenses/7zstub/src/Common/UTFConvert,3.822,2452.017,3.496,2,5
nsIDNSRecord,2.687,0.0,0.952,0,0
content/xslt/src/xslt/txTextHandler,3.024,0.0,3.497,2,10
sys/devpoll,2.687,0.0,0.952,0,0
xpcom/ds/nsAtomService,3.953,0.105,3.497,2,3
xpcom/string/public/nsPromiseFlatString,22.945,3918.247,3.497,13,5
nsIDOMSVGDocument,2.687,0.0,0.952,0,0
toolkit/crashreporter/google-breakpad/src/common/mac/macho_walker,5.436,4.0,3.495,2,3
media/libvorbis/lib/vorbis_codebook,3.242,3.583,3.497,3,11
ipc/chromium/src/base/message_pump_default,4.496,5177.477,3.497,3,8
modules/freetype2/include/freetype/ftoutln,7.055,2578.798,3.497,20,8
mozilla/_ipdltest/PTestLatencyParent,2.687,0.0,0.952,0,0
gfx/cairo/cairo/src/cairo-win32-refptr,2.687,0.0,0.952,0,0
toolkit/crashreporter/google-breakpad/src/processor/address_map_unittest,2.687,0.0,3.496,0,6
js/jsd/jsd_obj,3.339,78.411,3.497,3,18
dom/base/nsLocation,2.82,46.413,3.497,3,44
security/nss/lib/ssl/sslerrstrs,2.989,7196.296,3.497,1,10
content/xml/document/src/nsXMLPrettyPrinter,2.8,49.196,3.497,2,30
nsprpub/pr/tests/dceemu,2.687,0.0,3.497,0,3
js/src/jsapi-tests/testDeepFreeze,2.687,0.0,3.496,0,2
accessible/src/atk/nsDocAccessibleWrap,3.544,424.141,3.497,2,9
xpcom/glue/nsProxyRelease,5.204,102.759,3.497,29,12
modules/freetype2/src/base/ftgasp,2.687,0.0,3.497,0,7
content/svg/content/src/SVGIntegerPairSMILType,2.968,0.0,3.497,1,9
extensions/spellcheck/hunspell/src/hunspell_alloc_hooks,2.687,0.0,3.497,0,1
nsIX509Cert2,2.687,0.0,0.952,0,0
usr/include/fcntl,2.687,0.0,0.952,0,0
layout/printing/nsPrintData,2.845,3.481,3.497,2,19
sys/socket,2.687,0.0,0.952,0,0
libosso,2.687,0.0,0.952,0,0
security/nss/lib/util/secload,2.816,94.859,3.497,1,11
security/nss/cmd/modutil/install-ds,4.641,2575.774,3.497,4,10
netwerk/cookie/CookieServiceParent,2.687,0.0,3.497,0,9
ipc/glue/RPCChannel,3.261,743.651,3.497,2,11
intl/uconv/ucvlatin/nsCP874ToUnicode,4.114,157.042,3.497,4,7
gfx/cairo/cairo/src/cairo-version,23.851,14.449,3.496,6,4
nsIAccessibleRole,2.687,0.0,0.952,0,0
layout/generic/FrameChildList,4.122,0.0,3.497,8,6
ipc/chromium/src/base/condition_variable_posix,2.687,0.0,3.497,0,7
nsIDOMSVGAnimatedPoints,2.687,0.0,0.952,0,0
editor/libeditor/base/nsIEditorSupport,2.687,0.0,3.497,0,1
media/libvpx/vp8/common/x86/recon_x86,2.687,0.0,0.952,0,0
content/svg/content/src/nsSVGStyleElement,2.74,64.99,3.497,1,30
netwerk/wifi/nsWifiScannerWin,2.687,0.0,3.497,0,12
gfx/cairo/cairo/src/cairo-features-win32,2.687,0.0,0.952,0,0
layout/style/nsCSSPropList,16.845,10172.207,3.497,8,3
accessible/src/html/nsHTMLFormControlAccessible,3.139,1425.28,3.497,5,33
modules/freetype2/src/autofit/afglobal,3.237,637.964,3.497,3,15
gfx/cairo/libpixman/src/pixman,76.911,121770.813,3.497,51,12
gfx/thebes/gfxBlur,2.973,1.448,3.497,4,17
cns3,2.687,0.0,0.952,0,0
mfbt/Util,2.687,0.0,0.952,0,0
nsIDOMPlugin,2.687,0.0,0.952,0,0
js/src/ctypes/libffi/testsuite/libffi.call/cls_6_1_byte,3.449,0.0,3.495,1,2
xpcom/reflect/xptcall/src/md/win32/xptcinvoke,2.687,0.0,3.497,0,7
content/xslt/src/xpath/txMozillaXPathTreeWalker,6.817,50846.265,3.497,25,32
qgraphicswidget,2.687,0.0,0.952,0,0
widget/src/cocoa/nsScreenCocoa,3.449,0.0,3.496,1,0
content/base/src/nsDOMFile,2.938,3667.198,3.497,4,47
modules/zlib/src/crc32,4.528,195226.361,3.497,8,9
content/xbl/src/nsXBLEventHandler,2.977,80.496,3.497,4,20
nsprpub/pr/tests/semapong,2.687,0.0,3.497,0,8
modules/libimg/png/pngrio,2.687,0.0,3.496,0,2
nsprpub/pr/tests/multiacc,2.687,0.0,3.497,0,14
js/src/jsapi-tests/testGetPropertyDefault,2.687,0.0,3.496,0,7
xpcom/glue/nsHashKeys,29.616,23581.933,3.498,88,16
widget/src/cocoa/nsDeviceContextSpecX,2.687,0.0,3.496,0,1
content/xul/templates/src/nsXULTemplateQueryProcessorXML,3.099,2287.533,3.497,4,39
nsIDOMSVGTitleElement,2.687,0.0,0.952,0,0
security/nss/lib/freebl/stubs,2.861,431.201,3.498,1,35
mozilla/ipc/ProtocolUtils,2.687,0.0,0.952,0,0
modules/freetype2/include/freetype/config/ftconfig,92.66,24730.43,3.496,188,5
modules/freetype2/src/type1/t1tokens,2.853,0.0,3.496,1,2
security/nss/lib/ssl/sslimpl,5.692,17762.734,3.497,18,30
nsITextScroll,2.687,0.0,0.952,0,0
ipc/chromium/src/base/debug_util_unittest,2.687,0.0,3.496,0,3
gfx/cairo/cairo/src/cairo-qt-surface,2.687,0.0,3.497,0,23
security/nss/cmd/dbck/dbck,3.068,696.074,3.497,1,33
content/xul/document/src/nsForwardReference,2.75,0.0,3.497,2,0
xpcom/reflect/xptcall/src/md/unix/xptcinvoke_mips64,2.687,0.0,3.497,0,7
browser/components/shell/src/nsShellService,2.998,0.0,3.497,3,0
