node,page_rank,betweenness,closeness,indegree,outdegree
modules/zlib/src/zutil,9.207,98754.968,2.234,10,11
layout/base/nsIDocumentViewerPrint,1.669,434.971,2.234,3,7
content/events/src/nsDOMEvent,5.8,61280.182,2.234,71,56
skia/SkDashPathEffect,1.518,0.0,0.579,0,0
ipc/glue/ProcessChild,1.518,0.0,2.234,0,5
sys/isa_defs,1.518,0.0,0.579,0,0
media/libtheora/include/theora/theoradec,2.306,1.367,2.234,6,4
nsprpub/pr/tests/dceemu,1.518,0.0,2.234,0,3
gfx/layers/d3d10/ColorLayerD3D10,1.757,0.343,2.234,2,8
media/webrtc/trunk/webrtc/modules/audio_coding/main/source/acm_amr,1.645,0.0,2.234,1,11
security/nss/lib/ssl/sslsnce,1.711,33426.826,2.234,5,42
js/src/methodjit/NunboxAssembler,1.518,0.0,0.579,0,0
js/xpconnect/src/XPCThrower,2.736,2300.213,2.234,20,13
ApplicationServices/ApplicationServices,1.518,0.0,0.579,0,0
nsILocaleService,1.518,0.0,0.579,0,0
media/webrtc/trunk/webrtc/modules/video_coding/main/source/exp_filter,13.347,0.0,2.234,3,1
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/ilbc/energy_inverse,1.91,2.0,2.234,2,5
widget/gtk2/nsIImageToPixbuf,1.847,0.357,2.234,5,3
intl/icu/source/tools/toolutil/udbgutil,1.896,22038.378,2.234,5,30
layout/base/RestyleTracker,2.166,12014.606,2.234,11,22
media/webrtc/trunk/testing/gtest/test/gtest_pred_impl_unittest,2.484,1033.489,2.234,6,4
dom/plugins/base/nsPluginNativeWindowQt,1.518,0.0,2.234,0,5
media/webvtt/include/webvtt/node,4.142,0.0,2.234,6,2
other-licenses/7zstub/src/7zip/Archive/7z/7zMethodID,3.501,4318.286,2.234,7,5
content/media/ogg/OggDecoder,1.981,377.491,2.234,2,4
security/nss/lib/ckfw/nssmkey/minst,1.948,709.94,2.234,1,7
security/nss/lib/pki/pkim,2.91,2282.875,2.234,15,10
security/nss/lib/freebl/mpi/mpprime,16.5,54807.736,2.234,21,8
dom/base/nsWrapperCache,19.466,23657.333,2.234,162,5
security/nss/lib/ckfw/capi/constants,2.151,5.5,2.234,3,4
gfx/cairo/cairo/src/cairo-quartz-private,1.758,0.0,2.234,3,1
intl/icu/source/common/ucnv,4.191,246276.726,2.234,25,29
gfx/skia/src/gpu/effects/GrColorTableEffect,1.591,91.17,2.234,2,24
media/webrtc/signaling/src/softphonewrapper/CC_SIPCCService,1.949,337311.174,2.234,5,51
media/webrtc/signaling/src/sipcc/core/ccapp/capability_set,2.135,26.503,2.234,5,9
netwerk/test/ReadNTLM,1.518,0.0,2.234,0,5
mozilla/dom/SVGFEDistantLightElement,1.518,0.0,0.579,0,0
toolkit/crashreporter/google-breakpad/src/common/mac/macho_walker,2.837,3.583,2.234,2,3
mozilla/dom/SVGFETileElement,1.518,0.0,0.579,0,0
media/libopus/silk/fixed/vector_ops_FIX,2.497,0.667,2.234,6,4
ipc/chromium/src/base/message_pump_default,2.462,7280.31,2.234,3,8
modules/freetype2/include/freetype/ftoutln,4.154,5104.47,2.234,22,8
mozilla/_ipdltest/PTestLatencyParent,1.518,0.0,0.579,0,0
toolkit/crashreporter/google-breakpad/src/processor/address_map_unittest,1.518,0.0,2.234,0,6
dom/base/nsLocation,1.603,230.532,2.234,3,35
security/nss/lib/ssl/sslerrstrs,1.713,11887.642,2.234,1,10
media/libopus/silk/float/find_LTP_FLP,1.613,58.167,2.234,1,13
media/webrtc/trunk/tools/gyp/test/msvs/list_excluded/hello,1.518,0.0,0.579,0,0
gfx/skia/src/gpu/gl/GrGLStencilBuffer,1.797,826.283,2.234,3,13
modules/freetype2/src/base/ftgasp,1.518,0.0,2.234,0,7
content/svg/content/src/SVGIntegerPairSMILType,1.845,1798.826,2.234,2,7
gfx/skia/include/core/SkTSearch,9.556,0.799,2.234,27,3
layout/base/nsCounterManager,1.637,957.144,2.234,3,19
xpcom/reflect/xptcall/src/md/unix/xptcstubs_ppc_aix,1.518,0.0,2.234,0,2
layout/printing/nsPrintData,1.621,0.239,2.234,2,16
extensions/permissions/nsContentBlocker,1.937,5801.309,2.234,2,17
media/webrtc/signaling/src/sipcc/cpr/include/cpr_ipc,8.879,0.093,2.234,23,1
mozilla/layers/ThebesLayerComposite,1.518,0.0,0.579,0,0
security/nss/cmd/modutil/install-ds,2.352,738.193,2.234,4,9
nsIDOMSerializer,1.518,0.0,0.579,0,0
toolkit/crashreporter/google-breakpad/src/tools/linux/md2core/minidump-2-core,1.518,0.0,2.234,0,14
ipc/chromium/src/base/pr_time_unittest,1.518,0.0,2.234,0,10
netwerk/srtp/src/crypto/replay/rdbx,1.73,32022.0,2.234,2,5
security/nss/lib/ckfw/capi/crsa,1.804,2595.441,2.234,2,11
gfx/skia/include/gpu/GrInstanceCounter,4.786,0.0,2.234,1,3
js/src/frontend/FoldConstants,1.816,120.017,2.234,3,19
modules/freetype2/src/psaux/psauxerr,2.594,19.571,2.234,5,3
dom/src/storage/DOMStorageCache,1.861,16833.332,2.234,6,29
layout/style/nsCSSPropList,15.383,6.372,2.234,8,1
gfx/cairo/libpixman/src/pixman,34.175,158118.716,2.234,60,13
nsISSLErrorListener,1.518,0.0,0.579,0,0
nsprpub/pr/tests/lock,1.579,4.35,2.234,1,23
mfbt/Util,10.318,0.0,2.234,39,0
toolkit/components/protobuf/google/protobuf/stubs/map-util,1.633,0.0,2.234,1,1
gfx/cairo/cairo/src/cairo-polygon,2.412,1009.82,2.234,8,9
gfx/skia/src/ports/SkOSFile_brew,1.518,0.0,2.234,0,1
editor/libeditor/base/nsEditProperty,6.202,9021.237,2.234,15,2
gfx/angle/src/compiler/timing/RestrictFragmentShaderTiming,1.828,2666.583,2.234,2,8
content/base/src/nsDOMFile,1.897,9218.968,2.234,6,44
modules/zlib/src/crc32,2.911,9805.274,2.234,7,6
content/html/content/src/HTMLScriptElement,1.518,0.0,2.234,0,31
content/xbl/src/nsXBLEventHandler,1.694,11.371,2.234,4,16
nsprpub/pr/tests/semapong,1.518,0.0,2.234,0,8
netwerk/cache/nsDeleteDir,1.725,5.126,2.234,3,12
security/nss/lib/dbm/include/hash,4.568,1451.147,2.234,6,3
gfx/harfbuzz/src/test-buffer-serialize,1.518,0.0,2.234,0,8
xpcom/glue/nsHashKeys,66.294,493503.556,2.234,142,12
media/omx-plugin/include/froyo/utils/Vector,5.577,55119.356,2.234,24,7
media/webrtc/trunk/webrtc/system_wrappers/source/file_impl,2.895,1852.506,2.234,9,6
ipc/glue/IOThreadChild,1.518,0.0,2.234,0,7
dom/quota/AcquireListener,1.547,0.0,2.234,1,2
security/nss/lib/freebl/stubs,1.518,0.0,2.234,0,32
accessible/src/mac/XULTreeGridAccessibleWrap,1.623,0.0,2.234,1,1
mozilla/ipc/ProtocolUtils,1.518,0.0,0.579,0,0
modules/freetype2/src/type1/t1tokens,1.61,0.0,2.234,1,2
media/webrtc/trunk/testing/gtest/test/gtest-typed-test_test,2.333,7021.742,2.234,3,8
ipc/chromium/src/base/debug_util_unittest,1.518,0.0,2.234,0,5
modules/freetype2/src/tools/ftrandom/ftrandom,1.518,0.0,2.234,0,14
intl/unicharutil/util/nsUnicodeScriptCodes,4.309,0.0,2.234,6,0
gfx/skia/src/core/SkBlitRow_D32,1.858,40.202,2.234,4,13
parser/htmlparser/src/nsElementTable,2.055,34.869,2.234,5,6
intl/unicharutil/public/nsIUGenCategory,2.683,11.191,2.234,7,3
media/mtransport/third_party/nICEr/src/ice/ice_reg,2.023,0.0,2.234,4,0
gfx/2d/SourceSurfaceD2DTarget,1.791,0.0,2.234,2,8
mozilla/_ipdltest/PTestRPCErrorCleanupChild,1.518,0.0,0.579,0,0
content/base/src/nsContentAreaDragDrop,1.603,10865.295,2.234,3,39
nsprpub/pr/src/cplus/tests/ranfile,1.518,0.0,2.234,0,15
gfx/skia/include/gpu/gl/SkGLContext,4.95,6370.786,2.234,6,5
mozilla/dom/CDATASection,1.518,0.0,0.579,0,0
intl/icu/source/i18n/selfmtimpl,1.558,9.193,2.234,1,9
nsprpub/lib/libc/src/strcpy,4.083,798.803,2.234,25,2
media/libvpx/vpx_config_x86-win32-vs8,1.518,0.0,0.579,0,0
media/webrtc/trunk/webrtc/voice_engine/output_mixer_internal,2.024,1.5,2.234,3,7
gfx/layers/d3d9/ThebesLayerD3D9,1.839,687.839,2.234,5,27
mach/thread_policy,1.518,0.0,0.579,0,0
layout/style/test/ListCSSProperties,1.518,0.0,2.234,0,2
gfx/skia/include/effects/SkLayerDrawLooper,1.667,630.892,2.234,2,16
intl/chardet/src/nsCyrillicClass,1.651,0.0,2.234,1,0
media/omx-plugin/include/ics/stagefright/MediaExtractor,1.518,0.0,2.234,0,1
security/nss/lib/pkcs12/p12tmpl,1.59,121.443,2.234,2,15
AudioToolbox/DefaultAudioOutput,1.518,0.0,0.579,0,0
modules/freetype2/include/freetype/internal/services/svgldict,1.518,0.0,0.579,0,0
accessible/src/generic/ARIAGridAccessible,6.456,22383.329,2.234,7,32
media/webrtc/trunk/webrtc/modules/audio_coding/main/source/acm_common_defs,4.626,773.454,2.234,23,5
security/nss/lib/freebl/sysrand,1.671,694.695,2.234,1,3
ipc/chromium/src/chrome/common/file_descriptor_set_unittest,1.518,0.0,2.234,0,7
ipc/ipdl/test/cxx/TestSyncError,1.927,0.0,2.234,1,4
media/webrtc/trunk/webrtc/modules/audio_coding/main/source/audio_coding_module,3.151,2028548.361,2.234,14,7
gfx/cairo/cairo/src/cairo-xlib-xrender-private,2.319,0.333,2.234,5,1
intl/uconv/src/nsUTF8ConverterService,1.807,2380.26,2.234,3,14
js/src/vm/NumberObject-inl,3.642,3.712,2.234,3,5
media/libvpx/vpx_scale/yv12config,21.77,0.0,2.234,47,0
media/webrtc/trunk/webrtc/modules/media_file/interface/media_file_defines,2.778,3.233,2.234,10,3
content/html/content/src/HTMLHeadingElement,1.518,0.0,2.234,0,21
storage/public/mozStorageHelper,3.752,6353.071,2.234,27,3
