node,page_rank,betweenness,closeness,indegree,outdegree
widget/cocoa/nsIdleServiceX,1.709,0.0,2.74,0,4
layout/base/nsIDocumentViewerPrint,1.87,184.726,2.74,3,8
content/events/src/nsDOMEvent,6.581,39075.923,2.74,54,46
content/svg/content/src/nsSVGUnknownElement,1.74,13.361,2.74,1,14
content/events/src/nsEventDispatcher,1.738,36.073,2.74,1,26
ipc/glue/ProcessChild,1.709,0.0,2.74,0,5
sys/isa_defs,1.709,0.0,0.685,0,0
nsprpub/pr/tests/dceemu,1.709,0.0,2.74,0,3
gfx/layers/d3d10/ColorLayerD3D10,1.985,1.437,2.74,2,8
memory/mozalloc/mozalloc_undef_macro_wrappers,1.709,0.0,0.685,0,0
security/nss/lib/ssl/sslsnce,1.924,26880.027,2.74,5,44
js/src/methodjit/NunboxAssembler,1.709,0.0,0.685,0,0
js/xpconnect/src/XPCThrower,3.09,2649.046,2.74,18,14
ApplicationServices/ApplicationServices,1.709,0.0,0.685,0,0
nsILocaleService,1.709,0.0,0.685,0,0
widget/gtk2/nsIImageToPixbuf,1.917,0.0,2.74,2,3
media/webrtc/trunk/src/system_wrappers/interface/static_instance,2.969,1.75,2.739,3,2
layout/base/RestyleTracker,1.895,3.127,2.74,3,17
gdk/gdkkeysyms,1.709,0.0,0.685,0,0
dom/plugins/base/nsPluginNativeWindowQt,1.709,0.0,2.74,0,6
xpcom/tests/TestStreamUtils,1.709,0.0,2.74,0,8
security/nss/lib/ckfw/nssmkey/minst,2.194,1457.979,2.739,1,7
security/nss/lib/pki/pkim,3.529,12123.998,2.74,15,10
media/webrtc/trunk/src/modules/video_coding/main/test/receiver_tests,2.721,488.523,2.74,7,9
dom/base/nsWrapperCache,11.13,179825.616,2.74,61,9
security/nss/lib/ckfw/capi/constants,2.423,5.5,2.739,3,4
gfx/cairo/cairo/src/cairo-quartz-private,2.006,0.0,2.739,3,1
media/libtremor/lib/tremor_window,1.818,2.0,2.739,1,4
content/xslt/src/xslt/txTextHandler,2.011,0.0,2.74,2,7
netwerk/test/ReadNTLM,1.709,0.0,2.74,0,5
gfx/skia/include/core/SkRefDict,2.075,4.252,2.739,1,4
toolkit/crashreporter/google-breakpad/src/common/mac/macho_walker,3.2,4.5,2.739,2,3
