node,page_rank,betweenness,closeness,indegree,outdegree
content/media/webspeech/recognition/SpeechRecognitionResult,1.645,336.651,1.959,3,17
security/nss/lib/pk11wrap/pk11util,2.727,178710.648,1.959,24,27
accessible/src/xul/XULFormControlAccessible,1.595,112.77,1.959,2,36
nsPILoadGroupInternal,1.404,0.0,0.512,0,0
dom/audiochannel/AudioChannelService,2.744,85630.017,1.959,20,26
build/stlport/stlport/stl/_cwchar,404.441,3497108.032,1.959,20,7
security/nss/lib/freebl/mpi/mpi,80.498,511940.716,1.958,85,13
layout/xul/nsStackFrame,1.474,0.0,1.959,1,18
mozilla/ipc/MessageLink,1.404,0.0,0.512,0,0
toolkit/components/reflect/reflect,1.502,0.0,1.959,1,13
gfx/2d/ScaledFontCairo,1.638,184806.892,1.959,2,8
widget/gonk/nativewindow/GonkNativeWindowICS,1.404,0.0,1.959,0,25
toolkit/crashreporter/google-breakpad/src/common/stabs_to_module_unittest,1.404,0.0,1.958,0,7
gfx/skia/trunk/src/animator/SkAnimatorScript2,1.637,298.394,1.959,3,30
toolkit/components/url-classifier/LookupCache,1.684,1651.903,1.959,5,24
media/webrtc/trunk/webrtc/modules/audio_coding/main/test/EncodeDecodeTest,1.557,77.744,1.959,2,18
mozilla/dom/SVGFEDistantLightElementBinding,1.404,0.0,0.512,0,0
media/webrtc/trunk/webrtc/common_audio/resampler/include/push_resampler,2.985,7033.502,1.959,8,2
netwerk/base/src/nsURLHelper,3.714,10234.223,1.959,28,19
nsprpub/pr/include/prmon,14.439,2465.093,1.959,29,3
nsIRDFXMLSource,1.404,0.0,0.512,0,0
netwerk/sctp/src/netinet/sctp_pcb,5.992,93324.092,1.959,20,24
gfx/thebes/d3dkmtQueryStatistics,1.492,0.0,1.958,1,0
media/stagefright/MPEG4Writer,1.404,0.0,0.512,0,0
gfx/2d/SourceSurfaceCG,3.434,85795.052,1.959,18,9
media/webrtc/trunk/webrtc/common_video/test/frame_generator,1.747,213.237,1.959,3,7
content/base/src/NodeIterator,1.463,0.0,1.959,1,21
cns5,1.404,0.0,0.512,0,0
mfbt/tests/TestIntegerPrintfMacros,1.404,0.0,1.959,0,1
dom/xslt/xslt/txFormatNumberFunctionCall,1.544,2740.414,1.959,3,19
modules/freetype2/src/cache/ftcsbits,1.846,2395.471,1.959,4,17
content/base/public/nsIDocumentObserver,5.588,4163.375,1.959,37,9
media/webrtc/trunk/webrtc/modules/video_coding/main/test/video_source,1.999,4255.113,1.959,5,8
