node,page_rank,betweenness,closeness,indegree,outdegree
widget/cocoa/nsIdleServiceX,1.812,0.0,2.501,0,4
layout/base/nsIDocumentViewerPrint,1.98,292.752,2.501,3,8
content/events/src/nsDOMEvent,6.845,32726.526,2.502,54,48
accessible/src/mac/mozTextAccessible,1.812,0.0,2.501,0,1
skia/SkDashPathEffect,1.812,0.0,0.629,0,0
ipc/glue/ProcessChild,1.812,0.0,2.501,0,5
sys/isa_defs,1.812,0.0,0.629,0,0
nsprpub/pr/tests/dceemu,1.812,0.0,2.501,0,3
gfx/layers/d3d10/ColorLayerD3D10,2.09,1.625,2.501,2,8
tools/trace-malloc/adreader,13.544,0.0,2.501,2,1
security/nss/lib/ssl/sslsnce,2.04,31059.374,2.501,5,43
js/src/methodjit/NunboxAssembler,1.812,0.0,0.629,0,0
media/webrtc/trunk/src/modules/audio_processing/aecm/aecm_core_neon_offsets,1.812,0.0,2.501,0,1
js/xpconnect/src/XPCThrower,3.261,5061.755,2.501,19,13
ApplicationServices/ApplicationServices,1.812,0.0,0.629,0,0
nsILocaleService,1.812,0.0,0.629,0,0
widget/gtk2/nsIImageToPixbuf,2.577,2420.516,2.501,6,3
media/mtransport/third_party/nICEr/src/ice/ice_reg,2.423,0.0,2.501,4,0
media/webrtc/trunk/src/system_wrappers/interface/static_instance,3.249,3.75,2.501,3,2
layout/base/RestyleTracker,2.069,1.722,2.501,3,17
gdk/gdkkeysyms,1.812,0.0,0.629,0,0
dom/plugins/base/nsPluginNativeWindowQt,1.812,0.0,2.501,0,5
xpcom/tests/TestStreamUtils,1.812,0.0,2.501,0,6
security/nss/lib/ckfw/nssmkey/minst,2.325,672.257,2.501,1,7
security/nss/lib/pki/pkim,3.462,1414.308,2.501,15,10
media/webrtc/trunk/src/modules/video_coding/main/test/receiver_tests,2.89,315.237,2.501,7,9
dom/base/nsWrapperCache,14.322,4959.612,2.501,84,6
security/nss/lib/ckfw/capi/constants,2.568,5.5,2.501,3,4
gfx/cairo/cairo/src/cairo-quartz-private,2.1,0.0,2.501,3,1
media/libtremor/lib/tremor_window,1.927,2.0,2.501,1,4
gfx/skia/src/gpu/effects/GrColorTableEffect,1.899,17.159,2.501,2,24
media/webrtc/signaling/src/softphonewrapper/CC_SIPCCService,2.339,376729.52,2.501,5,52
media/webrtc/signaling/src/sipcc/core/ccapp/capability_set,2.557,89.513,2.501,5,9
netwerk/test/ReadNTLM,1.812,0.0,2.501,0,5
content/svg/content/src/nsSVGLength2,4.226,63239.252,2.501,32,33
toolkit/crashreporter/google-breakpad/src/common/mac/macho_walker,3.504,4.083,2.501,2,3
gfx/angle/src/compiler/preprocessor/atom,6.399,9490.257,2.501,8,9
media/libopus/silk/fixed/vector_ops_FIX,2.981,0.667,2.5,6,4
ipc/chromium/src/base/message_pump_default,3.063,6495.864,2.501,3,8
modules/freetype2/include/freetype/ftoutln,4.955,5584.617,2.501,22,8
mozilla/_ipdltest/PTestLatencyParent,1.812,0.0,0.629,0,0
toolkit/crashreporter/google-breakpad/src/processor/address_map_unittest,1.812,0.0,2.501,0,6
dom/base/nsLocation,1.907,31.615,2.502,3,37
tools/profiler/libunwind/src/src/x86/Ginit_remote,3.351,5404.0,2.501,1,3
security/nss/lib/ssl/sslerrstrs,2.045,10567.712,2.501,1,10
media/libopus/silk/float/find_LTP_FLP,1.926,58.167,2.5,1,13
media/webrtc/trunk/tools/gyp/test/msvs/list_excluded/hello,1.812,0.0,0.629,0,0
gfx/skia/src/gpu/gl/GrGLStencilBuffer,2.145,985.321,2.501,3,13
security/nss/lib/libpkix/pkix/checker/pkix_ekuchecker,2.64,7.355,2.501,3,16
media/webrtc/trunk/src/video_engine/main/test/WindowsTest/videosize,1.883,0.0,2.501,1,1
modules/freetype2/src/base/ftgasp,1.812,0.0,2.501,0,7
content/svg/content/src/SVGIntegerPairSMILType,2.185,981.231,2.501,2,7
gfx/skia/include/core/SkTSearch,11.452,0.799,2.501,27,3
layout/base/nsCounterManager,1.919,104.638,2.501,2,19
xpcom/reflect/xptcall/src/md/unix/xptcstubs_ppc_aix,1.812,0.0,2.501,0,2
layout/printing/nsPrintData,1.929,0.977,2.501,2,17
tools/profiler/libunwind/src/src/dl-iterate-phdr,3.371,1271.362,2.501,4,6
media/webrtc/signaling/src/sipcc/cpr/include/cpr_ipc,10.144,0.036,2.501,23,1
security/nss/cmd/modutil/install-ds,2.846,601.467,2.501,4,9
netwerk/cookie/CookieServiceParent,1.812,0.0,2.501,0,11
media/webrtc/trunk/src/modules/audio_coding/neteq/test/PayloadTypes,2.068,0.0,2.501,1,0
netwerk/srtp/src/crypto/replay/rdbx,2.065,29025.0,2.501,2,5
gfx/skia/include/gpu/GrInstanceCounter,6.014,0.0,2.501,1,3
js/src/frontend/FoldConstants,2.275,104.829,2.501,3,19
modules/freetype2/src/psaux/psauxerr,3.097,19.571,2.501,5,3
layout/style/nsCSSPropList,21.816,211.869,2.501,9,1
gfx/cairo/libpixman/src/pixman,40.916,121411.837,2.501,56,13
nsprpub/pr/tests/lock,1.885,4.35,2.501,1,23
mfbt/Util,3.52,0.0,2.501,21,0
media/webrtc/trunk/src/video_engine/vie_channel_manager,3.177,236757.423,2.501,11,24
gfx/skia/src/ports/SkOSFile_brew,1.812,0.0,2.501,0,1
editor/libeditor/base/nsEditProperty,7.42,8103.23,2.501,15,2
media/webrtc/trunk/src/modules/audio_device/main/interface/audio_device_defines,5.916,0.0,2.501,18,1
content/base/src/nsDOMFile,2.319,9413.841,2.502,8,51
media/webrtc/trunk/src/video_engine/vie_capture_impl,2.627,24374.521,2.501,9,20
content/xbl/src/nsXBLEventHandler,2.038,33.346,2.501,4,15
nsprpub/pr/tests/semapong,1.812,0.0,2.501,0,8
netwerk/cache/nsDeleteDir,2.071,2.541,2.501,3,11
gfx/graphite2/src/SegCacheStore,1.91,0.417,2.501,1,4
xpcom/glue/nsHashKeys,77.908,201343.363,2.502,134,13
nsIDOMSVGTitleElement,1.812,0.0,0.629,0,0
security/nss/lib/freebl/stubs,1.812,0.0,2.501,0,33
accessible/src/mac/XULTreeGridAccessibleWrap,1.934,0.0,2.501,1,1
mozilla/ipc/ProtocolUtils,1.812,0.0,0.629,0,0
modules/freetype2/src/type1/t1tokens,1.923,0.0,2.501,1,2
media/webrtc/trunk/testing/gtest/test/gtest-typed-test_test,2.834,4467.077,2.501,3,7
ipc/chromium/src/base/debug_util_unittest,1.812,0.0,2.501,0,4
modules/freetype2/src/tools/ftrandom/ftrandom,1.812,0.0,2.501,0,14
intl/unicharutil/util/nsUnicodeScriptCodes,4.814,0.0,2.501,5,0
gfx/skia/src/core/SkBlitRow_D32,2.219,40.202,2.501,4,13
parser/htmlparser/src/nsElementTable,2.395,11972.77,2.501,5,7
dom/src/storage/nsDOMStorage,3.146,80007.526,2.502,13,50
intl/unicharutil/public/nsIUGenCategory,2.996,12.447,2.501,7,3
gfx/2d/SourceSurfaceD2DTarget,2.135,0.0,2.501,2,8
mozilla/_ipdltest/PTestRPCErrorCleanupChild,1.812,0.0,0.629,0,0
content/base/src/nsContentAreaDragDrop,1.915,11947.182,2.501,3,38
nsprpub/pr/src/cplus/tests/ranfile,1.812,0.0,2.501,0,15
gfx/skia/include/gpu/gl/SkGLContext,5.886,5438.373,2.501,6,5
nsprpub/lib/libc/src/strcpy,4.847,531.31,2.501,25,2
media/libvpx/vpx_config_x86-win32-vs8,1.812,0.0,0.629,0,0
audio_device_iphone,1.812,0.0,0.629,0,0
gfx/layers/d3d9/ThebesLayerD3D9,2.189,10547.209,2.501,5,31
mach/thread_policy,1.812,0.0,0.629,0,0
layout/style/test/ListCSSProperties,1.812,0.0,2.501,0,2
gfx/skia/include/effects/SkLayerDrawLooper,1.99,835.707,2.501,2,16
intl/chardet/src/nsCyrillicClass,1.96,0.0,2.501,1,0
media/omx-plugin/include/ics/stagefright/MediaExtractor,2.15,0.478,2.501,3,1
media/webrtc/trunk/src/common_audio/signal_processing/copy_set_operations,9.192,1.7,2.501,31,2
security/nss/lib/pkcs12/p12tmpl,1.896,159.131,2.501,2,15
AudioToolbox/DefaultAudioOutput,1.812,0.0,0.629,0,0
modules/freetype2/include/freetype/internal/services/svgldict,1.812,0.0,0.629,0,0
media/webrtc/trunk/src/modules/rtp_rtcp/source/dtmf_queue,2.375,0.0,2.501,2,5
media/webrtc/trunk/src/video_engine/test/auto_test/source/vie_autotest_android,2.343,5621.892,2.501,1,15
security/nss/lib/freebl/sysrand,1.966,591.9,2.501,1,3
ipc/chromium/src/chrome/common/file_descriptor_set_unittest,1.812,0.0,2.501,0,6
ipc/ipdl/test/cxx/TestSyncError,2.3,0.0,2.501,1,4
gfx/cairo/cairo/src/cairo-xlib-xrender-private,2.757,0.333,2.501,5,1
intl/uconv/src/nsUTF8ConverterService,1.937,2341.514,2.501,2,16
media/libvpx/vpx_scale/yv12config,25.775,0.0,2.501,47,0
storage/public/mozStorageHelper,4.626,5550.8,2.501,29,4
nsIDOMDOMError,1.812,0.0,0.629,0,0
gfx/2d/SourceSurfaceCairo,2.047,0.0,2.501,2,11
xpcom/reflect/xptcall/src/md/unix/xptcstubs_sparc64_openbsd,1.812,0.0,2.501,0,2
extensions/permissions/nsModuleFactory,1.812,0.0,2.501,0,4
xpcom/tests/TestPipes,1.812,0.0,2.501,0,19
toolkit/crashreporter/google-breakpad/src/client/apple/Framework/BreakpadDefines,4.891,0.0,0.629,2,0
tools/profiler/libunwind/src/src/elf32,14.104,77.198,2.501,6,2
chrome/browser/chrome_plugin_host,1.812,0.0,0.629,0,0
gfx/skia/src/effects/SkBlurMask,2.101,138.696,2.501,3,16
tools/profiler/libunwind/src/src/mi/Ldestroy_addr_space,1.812,0.0,2.5,0,1
media/webrtc/signaling/src/sipcc/cpr/darwin/cpr_darwin_rand,1.812,0.0,0.629,0,0
accessible/src/base/AccCollector,2.581,0.0,2.501,2,4
media/libjpeg/simd/jsimd_arm,1.812,0.0,2.501,0,7
console,1.812,0.0,0.629,0,0
nsISSLSocketControl,1.812,0.0,0.629,0,0
media/webrtc/trunk/src/modules/interface/module_common_types,63.543,565.088,2.501,168,4
media/webrtc/trunk/src/voice_engine/voe_base_impl,2.85,387119.921,2.501,9,28
mozilla/dom/AudioBufferSourceNodeBinding,1.812,0.0,0.629,0,0
content/xul/templates/src/nsXULTemplateQueryProcessorRDF,3.173,82218.326,2.501,11,50
mozilla/plugins/NPEventOSX,1.812,0.0,0.629,0,0
nsIDOMSVGAnimationElement,1.812,0.0,0.629,0,0
media/webrtc/trunk/tools/gyp/test/dependencies/b/b3,4.66,0.0,0.629,1,0
ipc/chromium/src/chrome/common/temp_scaffolding_stubs,1.901,0.0,2.501,1,18
content/base/public/nsIDocument,59.897,817394.773,2.502,384,31
media/libtheora/lib/internal,51.106,931391.618,2.501,20,8
gfx/skia/src/images/SkImageDecoder_libbmp,1.812,0.0,2.501,0,14
gfx/angle/src/libGLESv2/shaders/componentmaskps,1.96,0.0,2.501,1,0
tools/profiler/libunwind/src/src/ia64/Gcreate_addr_space,3.351,5403.0,2.501,1,2
tools/profiler/libunwind/src/include/tdep-arm/dwarf-config,1.812,0.0,0.629,0,0
mozilla/net/PFTPChannelParent,1.812,0.0,0.629,0,0
rdf/base/src/nsRDFXMLDataSource,1.879,281.622,2.501,1,31
security/nss/lib/ckfw/builtins/bfind,2.006,241.222,2.501,1,10
gfx/skia/src/core/SkTypeface,3.403,667537.515,2.501,20,10
dom/ipc/AudioChild,1.812,0.0,2.501,0,1
nsITransportSecurityInfo,1.812,0.0,0.629,0,0
content/base/src/nsDOMAttribute,2.35,541.783,2.501,9,42
media/libopus/silk/fixed/burg_modified_FIX,1.936,1.667,2.5,1,9
tools/profiler/libunwind/src/src/x86/Gget_proc_info,8.725,65254.452,2.501,8,4
media/webrtc/signaling/src/sipcc/core/common/logmsg,4.224,0.0,2.501,5,1
media/libvpx/vpx_config_c,1.812,0.0,2.501,0,1
gfx/thebes/gfxFT2FontList,21.948,1879675.35,2.502,91,44
tools/profiler/libunwind/src/src/mips/Linit_local,1.812,0.0,2.5,0,1
security/nss/lib/util/utilparst,4.339,236690.206,2.501,11,3
toolkit/crashreporter/google-breakpad/src/common/linux/linux_libc_support_unittest,1.812,0.0,2.501,0,5
content/events/src/nsDOMAnimationEvent,1.938,0.0,2.501,1,13
nsprpub/pr/tests/fsync,1.812,0.0,2.501,0,15
media/webrtc/trunk/tools/gyp/test/win/rc-build/subdir/include,1.812,0.0,0.629,0,0
gfx/ycbcr/yuv_row_posix,1.812,0.0,2.501,0,3
chrome/browser/meta_table_helper,1.812,0.0,0.629,0,0
dom/telephony/Telephony,2.033,981.292,2.501,3,36
toolkit/crashreporter/google-breakpad/src/processor/address_map,3.826,0.0,2.501,7,0
toolkit/xre/nsCommandLineServiceMac,2.111,0.0,2.501,1,6
qabstracteventdispatcher,1.812,0.0,0.629,0,0
nsprpub/pr/tests/semaerr,1.812,0.0,2.501,0,10
media/libopus/celt/fixed_generic,1.812,0.0,0.629,0,0
