node,page_rank,betweenness,closeness,indegree,outdegree
content/media/webspeech/recognition/SpeechRecognitionResult,1.734,332.456,2.032,3,19
security/nss/lib/pk11wrap/pk11util,2.958,192130.247,2.032,24,27
mozilla/dom/HTMLInputElementBinding,1.506,0.0,0.527,0,0
nsPILoadGroupInternal,1.506,0.0,0.527,0,0
dom/audiochannel/AudioChannelService,2.485,35870.767,2.032,15,27
build/stlport/stlport/stl/_cwchar,392.816,2823392.582,2.032,20,7
security/nss/lib/freebl/mpi/mpi,92.544,479482.792,2.032,85,13
layout/xul/nsStackFrame,1.58,0.0,2.032,1,18
mozilla/ipc/MessageLink,1.506,0.0,0.527,0,0
gfx/2d/ScaledFontCairo,1.787,2376.315,2.032,2,7
widget/gonk/nativewindow/GonkNativeWindowICS,1.506,0.0,2.032,0,28
toolkit/crashreporter/google-breakpad/src/common/stabs_to_module_unittest,1.506,0.0,2.032,0,7
toolkit/crashreporter/google-breakpad/src/third_party/glog/src/glog/log_severity,1.506,0.0,0.527,0,0
toolkit/components/url-classifier/LookupCache,1.777,1463.544,2.032,5,26
media/webrtc/trunk/webrtc/modules/audio_coding/main/test/EncodeDecodeTest,1.666,70.068,2.032,2,19
mozilla/dom/SVGFEDistantLightElementBinding,1.506,0.0,0.527,0,0
gfx/skia/src/core/SkUtilsArm,3.499,10.311,2.032,7,3
media/webrtc/trunk/webrtc/common_audio/resampler/include/push_resampler,3.132,7023.929,2.032,8,2
netwerk/base/src/nsURLHelper,3.644,3506.46,2.032,28,19
nsprpub/pr/include/prmon,14.846,2425.686,2.032,27,3
nsIRDFXMLSource,1.506,0.0,0.527,0,0
netwerk/sctp/src/netinet/sctp_pcb,6.161,99163.269,2.032,20,24
gfx/thebes/d3dkmtQueryStatistics,1.574,0.0,2.032,1,0
media/stagefright/MPEG4Writer,1.506,0.0,0.527,0,0
gfx/2d/SourceSurfaceCG,1.729,6.0,2.032,2,10
media/webrtc/trunk/webrtc/common_video/test/frame_generator,1.878,137.004,2.032,3,7
content/base/src/NodeIterator,1.566,0.0,2.032,1,22
cns5,1.506,0.0,0.527,0,0
mfbt/tests/TestIntegerPrintfMacros,1.506,0.0,2.032,0,1
dom/xslt/xslt/txFormatNumberFunctionCall,1.652,2723.152,2.032,3,20
modules/freetype2/src/cache/ftcsbits,2.001,2432.474,2.032,4,17
content/base/public/nsIDocumentObserver,5.436,4271.019,2.032,36,10
widget/os2/nsDeviceContextSpecOS2,1.596,290.454,2.032,2,37
media/webrtc/trunk/webrtc/modules/video_capture/ios/video_capture_ios,2.146,7010.319,2.032,1,4
security/nss/lib/freebl/sha256,2.505,0.111,2.032,3,1
d3d10_1,1.506,0.0,0.527,0,0
media/libopus/silk/MacroDebug,5.183,0.0,2.031,1,0
nsIApplicationReputation,1.506,0.0,0.527,0,0
intl/icu/source/i18n/tzfmt,1.579,46583.218,2.032,2,53
media/libvpx/vp8/common/arm/dequantize_arm,1.506,0.0,2.032,0,3
toolkit/crashreporter/google-breakpad/src/client/windows/crash_generation/client_info,3.236,14864.992,2.032,10,5
nsprpub/pr/tests/switch,1.691,638.464,2.032,4,22
intl/strres/src/nsStringBundleTextOverride,1.702,1312.867,2.032,3,18
widget/windows/winrt/MetroInput,1.789,15481.587,2.032,3,27
gfx/cairo/cairo/src/cairo-image-surface,15.525,262906.179,2.032,48,53
media/webrtc/trunk/tools/gyp/test/rules/src/subdir3/program,1.506,0.0,0.527,0,0
other-licenses/7zstub/src/7zip/Archive/7z/7zCompressionMode,1.581,0.0,2.032,1,6
AccessibleStates,1.506,0.0,0.527,0,0
mozilla/dom/FragmentOrElement,1.506,0.0,0.527,0,0
js/xpconnect/src/XPCForwards,1.811,0.0,2.032,2,0
python/mozbuild/mozbuild/test/backend/data/exports/pprio,1.506,0.0,0.527,0,0
mozilla/gfx/Blur,1.506,0.0,0.527,0,0
security/manager/ssl/src/nsDataSignatureVerifier,1.595,49.11,2.032,2,24
mozilla/css/Loader,1.506,0.0,0.527,0,0
gfx/skia/src/core/SkMemory_stdlib,40.059,6061.53,2.032,74,6
build/stlport/src/monetary,1.506,0.0,2.032,0,3
media/webrtc/signaling/src/sipcc/core/sdp/sdp_config,1.808,0.5,2.032,3,4
dom/ipc/TabContext,1.873,0.111,2.032,4,6
js/src/yarr/PageAllocation,11.726,43915.636,2.032,9,6
intl/icu/source/i18n/dtrule,1.789,0.333,2.032,4,9
