node,page_rank,betweenness,closeness,indegree,outdegree
accessible/src/generic/ARIAGridAccessible,8.971,15203.268,3.22,6,35
security/nss/lib/freebl/sysrand,2.94,348.009,3.22,1,4
ipc/chromium/src/chrome/common/file_descriptor_set_unittest,2.285,0.0,3.22,0,5
ipc/ipdl/test/cxx/TestSyncError,2.902,0.0,3.22,1,4
gfx/cairo/cairo/src/cairo-xlib-xrender-private,3.22,0.333,3.219,5,1
intl/uconv/src/nsUTF8ConverterService,2.433,449.149,3.22,2,17
accessible/src/mac/nsHTMLImageAccessibleWrap,2.407,0.0,3.219,1,1
media/libvpx/vpx_scale/yv12config,32.274,0.0,3.219,46,0
storage/public/mozStorageHelper,5.886,10447.925,3.22,30,7
nsIDOMDOMError,2.285,0.0,0.812,0,0
gfx/2d/SourceSurfaceCairo,2.579,0.0,3.22,2,12
nsINetUtil,2.285,0.0,0.812,0,0
security/nss/lib/libpkix/pkix/checker/pkix_namechainingchecker,3.714,0.539,3.219,3,10
xpcom/tests/TestPipes,2.285,0.0,3.22,0,22
tools/profiler/libunwind/src/src/elf32,16.323,6018.982,3.219,6,2
chrome/browser/chrome_plugin_host,2.285,0.0,0.812,0,0
gfx/skia/src/effects/SkBlurMask,2.635,43.492,3.22,3,16
tools/profiler/libunwind/src/src/mi/Ldestroy_addr_space,2.285,0.0,3.218,0,1
tools/profiler/libunwind/src/src/hppa/Lis_signal_frame,2.285,0.0,3.218,0,1
accessible/src/base/AccCollector,5.422,3.167,3.22,3,7
media/libjpeg/simd/jsimd_arm,2.285,0.0,3.22,0,9
console,2.285,0.0,0.812,0,0
security/nss/lib/ckfw/nssckepv,2.643,1.2,3.219,1,1
modules/libbz2/src/huffman,4.79,0.0,3.219,2,2
content/xul/templates/src/nsXULTemplateQueryProcessorRDF,3.821,7802.554,3.22,11,54
mozilla/plugins/NPEventOSX,2.285,0.0,0.812,0,0
nsIDOMSVGAnimationElement,2.285,0.0,0.812,0,0
content/base/public/nsIDocument,69.211,560818.971,3.22,418,40
media/libtheora/lib/internal,26.334,65918.261,3.22,20,9
gfx/skia/src/images/SkImageDecoder_libbmp,2.285,0.0,3.22,0,14
machine/inline,2.285,0.0,0.812,0,0
tools/profiler/libunwind/src/src/ia64/Gcreate_addr_space,4.228,4053.0,3.219,1,2
tools/profiler/libunwind/src/include/tdep-arm/dwarf-config,2.285,0.0,0.812,0,0
mozilla/net/PFTPChannelParent,2.285,0.0,0.812,0,0
rdf/base/src/nsRDFXMLDataSource,2.363,301.68,3.22,1,34
