node,page_rank,betweenness,closeness,indegree,outdegree
gfx/cairo/cairo/src/cairo-rectangle,17.697,6567.621,3.104,29,8
security/nss/lib/pkcs12/p12tmpl,2.333,23.163,3.105,2,15
modules/freetype2/include/freetype/internal/services/svgldict,2.23,0.0,0.785,0,0
accessible/src/generic/ARIAGridAccessible,8.632,13062.402,3.105,6,36
security/nss/lib/freebl/sysrand,2.767,599.657,3.105,1,4
ipc/chromium/src/chrome/common/file_descriptor_set_unittest,2.23,0.0,3.105,0,5
ipc/ipdl/test/cxx/TestSyncError,2.831,0.0,3.105,1,4
gfx/cairo/cairo/src/cairo-xlib-xrender-private,3.172,0.333,3.104,5,1
intl/uconv/src/nsUTF8ConverterService,2.373,356.009,3.105,2,17
media/libvpx/vpx_scale/yv12config,31.039,0.0,3.104,47,0
ipc/chromium/src/chrome/common/pref_member_unittest,2.23,0.0,3.104,0,10
storage/public/mozStorageHelper,5.816,9865.67,3.105,30,7
nsIDOMDOMError,2.23,0.0,0.785,0,0
gfx/2d/SourceSurfaceCairo,2.516,0.0,3.105,2,12
nsINetUtil,2.23,0.0,0.785,0,0
security/nss/lib/libpkix/pkix/checker/pkix_namechainingchecker,3.625,0.54,3.104,3,10
xpcom/tests/TestPipes,2.23,0.0,3.105,0,21
tools/profiler/libunwind/src/src/elf32,15.931,6020.945,3.104,6,2
chrome/browser/chrome_plugin_host,2.23,0.0,0.785,0,0
gfx/skia/src/effects/SkBlurMask,2.594,24.148,3.105,3,16
tools/profiler/libunwind/src/src/mi/Ldestroy_addr_space,2.23,0.0,3.103,0,1
tools/profiler/libunwind/src/src/hppa/Lis_signal_frame,2.23,0.0,3.103,0,1
accessible/src/base/AccCollector,3.061,3.6,3.105,3,7
media/libjpeg/simd/jsimd_arm,2.23,0.0,3.104,0,8
console,2.23,0.0,0.785,0,0
security/nss/lib/ckfw/nssckepv,2.578,1.2,3.104,1,1
modules/libbz2/src/huffman,5.375,0.0,3.104,2,2
content/xul/templates/src/nsXULTemplateQueryProcessorRDF,3.765,9508.297,3.105,11,53
mozilla/plugins/NPEventOSX,2.23,0.0,0.785,0,0
nsIDOMSVGAnimationElement,2.23,0.0,0.785,0,0
content/base/public/nsIDocument,68.23,669731.637,3.105,422,40
media/libtremor/include/tremor/ivorbiscodec,11.418,21.061,3.104,15,3
gfx/skia/src/images/SkImageDecoder_libbmp,2.23,0.0,3.105,0,14
machine/inline,2.23,0.0,0.785,0,0
tools/profiler/libunwind/src/src/ia64/Gcreate_addr_space,4.125,3977.0,3.104,1,2
tools/profiler/libunwind/src/include/tdep-arm/dwarf-config,2.23,0.0,0.785,0,0
mozilla/net/PFTPChannelParent,2.23,0.0,0.785,0,0
rdf/base/src/nsRDFXMLDataSource,2.305,208.928,3.105,1,33
security/nss/lib/ckfw/builtins/bfind,2.469,43.395,3.105,1,11
dom/ipc/AudioChild,2.23,0.0,3.105,0,1
nsITransportSecurityInfo,2.23,0.0,0.785,0,0
content/base/src/nsDOMAttribute,2.656,141.069,3.105,7,44
media/libopus/silk/fixed/burg_modified_FIX,2.383,1.667,3.104,1,9
unknwn,2.23,0.0,0.785,0,0
media/libvpx/vpx_config_c,2.23,0.0,3.104,0,1
sys/procfs,2.23,0.0,0.785,0,0
gfx/thebes/gfxFT2FontList,2.393,304.767,3.105,3,47
tools/profiler/libunwind/src/src/mips/Linit_local,2.23,0.0,3.103,0,1
toolkit/crashreporter/google-breakpad/src/common/linux/linux_libc_support_unittest,2.23,0.0,3.105,0,4
content/events/src/nsDOMAnimationEvent,2.406,1.317,3.105,2,14
nsprpub/pr/tests/fsync,2.23,0.0,3.105,0,15
content/html/document/src/VideoDocument,2.23,0.0,3.105,0,24
gfx/ycbcr/yuv_row_posix,2.23,0.0,3.104,0,3
chrome/browser/meta_table_helper,2.23,0.0,0.785,0,0
dom/telephony/Telephony,2.478,336.311,3.105,3,38
toolkit/crashreporter/google-breakpad/src/processor/address_map,3.467,0.0,3.104,3,0
toolkit/xre/nsCommandLineServiceMac,2.831,0.0,3.105,1,4
qabstracteventdispatcher,2.23,0.0,0.785,0,0
nsprpub/pr/include/md/_nextstep,2.23,0.0,3.105,0,3
media/libopus/celt/fixed_generic,2.23,0.0,0.785,0,0
toolkit/crashreporter/google-breakpad/src/third_party/linux/include/gflags/gflags,3.177,2.0,3.105,1,2
content/svg/content/src/nsSVGScriptElement,2.268,7737.916,3.105,1,30
intl/uconv/ucvtw/nsUnicodeToBIG5HKSCS,2.49,0.034,3.105,2,9
nsIDOMSVGPathSeg,2.23,0.0,0.785,0,0
X11/extensions/shape,2.23,0.0,0.785,0,0
media/libcubeb/include/cubeb,2.23,0.0,3.103,0,2
content/base/public/mozFlushType,5.449,0.0,3.105,6,0
xpcom/io/nsStreamUtils,8.293,19142.958,3.105,47,17
gfx/gl/GLContextSymbols,2.422,0.0,3.105,1,4
other-licenses/android/assertions,5.37,0.0,3.104,3,0
security/nss/lib/ssl/sslcon,3.292,14562.883,3.105,8,50
js/src/vm/MethodGuard-inl,7.396,807.495,3.105,9,17
content/html/content/src/nsHTMLObjectElement,2.23,0.0,3.105,0,42
security/nss/lib/libpkix/pkix/params/pkix_resourcelimits,6.707,1075.479,3.104,8,8
intl/uconv/ucvlatin/adobezingbat,2.23,0.0,0.785,0,0
content/base/src/FileIOObject,2.35,2.303,3.105,2,22
mozilla/_ipdltest/PTestShutdownSubChild,2.23,0.0,0.785,0,0
dom/power/PowerManager,2.493,8348.606,3.105,3,21
other-licenses/7zstub/src/Windows/Control/Dialog,2.748,1088.387,3.104,2,8
gfx/cairo/cairo/src/cairo-freelist-type-private,4.19,2.837,3.105,7,3
cutils/sockets,2.23,0.0,0.785,0,0
tools/jprof/stub/config,4.8,0.0,3.104,4,0
nsprpub/pr/tests/io_timeout,2.23,0.0,3.105,0,20
gfx/graphite2/src/inc/Code,4.283,13.85,3.104,4,7
toolkit/crashreporter/google-breakpad/src/client/linux/minidump_writer/directory_reader,2.818,1.0,3.105,2,2
mozilla/dom/PStorageChild,2.23,0.0,0.785,0,0
js/src/jsproxy,16.207,908.248,3.105,32,35
dbus/dbus-protocol,2.23,0.0,0.785,0,0
modules/freetype2/include/freetype/ftcache,4.134,7147.161,3.105,9,10
nsprpub/pr/src/md/os2/os2cv,2.23,0.0,3.105,0,11
nsIDOMDesktopNotification,2.23,0.0,0.785,0,0
toolkit/crashreporter/google-breakpad/src/processor/logging,17.054,102716.309,3.105,32,4
content/svg/content/src/nsSVGClipPathElement,2.463,1122.942,3.105,3,20
layout/svg/base/src/nsSVGFilterInstance,2.369,151.019,3.105,3,38
widget/qt/nsIdleServiceQt,2.485,7.628,3.105,2,11
xpfe/appshell/src/nsAppShellService,2.536,1075.169,3.105,2,31
nsIXULSortService,2.23,0.0,0.785,0,0
gfx/skia/src/pipe/SkGPipePriv,2.332,0.0,3.105,2,3
security/nss/lib/util/secdig,5.114,754.638,3.105,12,15
toolkit/components/startup/nsUserInfo,3.007,870.627,3.105,4,1
intl/locale/src/windows/nsWinCharset,2.23,0.0,3.105,0,23
gfx/skia/include/gpu/SkGrTexturePixelRef,2.351,5.945,3.104,2,11
dom/base/nsWrapperCacheInlines,4.284,91.899,3.105,24,3
