node,page_rank,betweenness,closeness,indegree,outdegree
gfx/harfbuzz/src/hb-font,9.354,41734.587,3.44,15,13
layout/base/nsIPercentHeightObserver,3.112,0.1,3.44,3,1
intl/uconv/ucvlatin/nsUnicodeToARMSCII8,3.077,0.033,3.441,2,7
other-licenses/7zstub/src/7zip/Archive/Common/ItemNameUtils,3.564,0.0,3.44,2,4
nsprpub/pr/tests/append,2.673,0.0,3.441,0,9
security/nss/cmd/lib/pk11table,3.437,46.013,3.441,4,8
xpcom/io/nsStringStream,9.22,115000.105,3.441,34,21
nsIFrameMessageManager,2.673,0.0,0.944,0,0
nsIContentViewerFile,2.673,0.0,0.944,0,0
media/libsydneyaudio/src/sydney_audio_pulseaudio,2.673,0.0,3.44,0,4
layout/base/nsImageLoader,3.119,3848.038,3.441,2,24
modules/libjar/zipwriter/src/nsZipHeader,3.052,73.538,3.441,3,15
gfx/cairo/cairo/src/cairo-wideint,62.483,997.074,3.44,9,3
content/base/public/nsCaseTreatment,7.437,0.0,3.44,2,0
toolkit/crashreporter/google-breakpad/src/google_breakpad/processor/stack_frame,12.021,9.515,3.439,22,2
other-licenses/7zstub/src/7zip/Archive/7z/7zExtract,2.673,0.0,3.44,0,15
modules/freetype2/src/autofit/afindic,3.319,601.984,3.44,3,11
ipc/chromium/src/chrome/common/ipc_logging,3.874,56946.675,3.44,7,24
media/libtheora/lib/quant,4.701,85.75,3.44,4,7
nsIDOMAttr,2.673,0.0,0.944,0,0
layout/style/CSSCalc,3.459,13.647,3.441,6,6
layout/svg/base/src/nsSVGTextPathFrame,2.993,25629.919,3.441,5,34
nsIDOMHTMLBRElement,2.673,0.0,0.944,0,0
media/libvpx/vpx_scale/scale_mode,3.559,0.0,3.439,1,0
security/nss/lib/softoken/legacydb/lgcreate,3.425,40214.762,3.441,4,29
security/nss/lib/cryptohi/sechash,4.645,9093.391,3.441,19,11
security/nss/lib/freebl/blapit,24.924,89814.251,3.44,73,16
