uplift_id,dupe_id,why
1121829,1126185,
1164264,1173634,
1177461,1180610,
1180379,1193802,
1271516,1289571,
1257861,1263533,
1170211,1186002,
1078262,1097776,
1073910,1122344,
1154683,1158568,
1262556,1264807,
1066319,1127173,
1134387,1139380,
