uplift_id,cloned_id,why
1102295,1102297,partially fixed
1104846,1102911,partially fixed
1166066,1114299,INVALID
1173930,1183019,INVALID
1195844,1160295,
1202279,1202280,partially fixed
1216699,1217165,partially fixed
1218297,1233774,partially fixed
1233666,1113930,partially fixed
1264694,1268332,
1272757,1273137,partially fixed
