,bug_id,max_pos,min_neg,overall,owner_pos,owner_neg,manager_pos,manager_neg
8590,1121824,3,-3,-6,0,0,0,0
8591,1121751,2,-4,-3,0,0,1,-4
8592,1120032,2,-3,-2,0,0,0,0
8593,1120030,2,-3,3,2,-2,0,0
8594,1119537,3,-4,-6,1,-1,0,0
8595,1120207,1,-1,0,0,0,0,0
8596,1121406,2,-2,2,0,0,1,-1
8597,1122090,2,-2,0,0,0,0,0
8598,1119120,2,-3,-15,0,0,1,-2
8599,1119126,3,-3,-6,1,-1,1,-3
8600,1120721,3,-1,2,0,0,0,0
8601,1120683,3,-4,7,2,-1,0,0
8602,1120324,2,-2,-2,1,-2,0,0
8603,1120047,2,-3,-1,1,-1,0,0
8604,1120045,3,-3,0,1,-1,0,0
8605,1121550,2,-3,-1,1,-3,1,-1
8606,1121530,2,-3,1,1,-1,0,0
8607,1119753,2,-3,-42,1,-3,0,0
8608,1119752,1,-1,0,0,0,0,0
8609,1119698,3,-3,3,2,-1,0,0
8610,1119757,3,-4,-1,2,-1,0,0
8611,1119878,3,-4,-2,3,-4,1,-2
8612,1119692,2,-4,-6,2,-4,0,0
8613,1119759,1,-1,0,0,0,0,0
8614,1119691,2,-3,-2,1,-1,0,0
8615,1119872,3,-3,0,3,-2,0,0
8616,1119873,3,-3,5,3,-3,0,0
8617,1119979,3,-3,-1,3,-2,0,0
8618,1120951,2,-2,0,0,0,0,0
8619,1120957,3,-3,4,3,-2,0,0
8620,1120813,3,-3,1,2,-3,1,-1
8621,1119199,3,-4,1,2,-1,0,0
8622,1121073,1,-1,0,0,0,0,0
8623,1121072,1,-2,-1,1,-1,0,0
8624,1120616,3,-3,15,2,-2,0,0
8625,1120591,3,-2,0,0,0,0,0
8626,1120592,2,-2,4,1,-1,0,0
8627,1121176,1,-3,-4,0,0,1,-1
8628,1121626,2,-3,-1,2,-3,0,0
8629,1121748,3,-4,-11,0,0,2,-1
8630,1121622,1,-1,0,0,0,0,0
8631,1122113,1,-2,-1,1,-1,0,0
8632,1119584,3,-4,-2,0,0,0,0
8633,1122119,3,-4,-25,3,-4,1,-2
8634,1120252,3,-3,-2,0,0,0,0
8635,1120257,2,-3,-4,1,-2,0,0
8636,1119273,2,-2,-1,2,-2,0,0
8637,1122070,3,-2,1,0,0,0,0
8638,1121210,4,-2,-2,0,0,0,0
8639,1119276,3,-2,2,2,-2,0,0
8640,1119277,3,-4,-6,3,-4,0,0
8641,1121692,3,-4,-11,3,-4,0,0
8642,1120313,3,-4,0,3,-1,0,0
8643,1120316,2,-3,-1,0,0,0,0
8644,1122044,1,-1,0,0,0,0,0
8645,1120664,2,-3,-5,1,-2,0,0
8646,1120662,1,-1,0,1,-1,0,0
8647,1120505,2,-3,1,0,0,0,0
8648,1120503,2,-2,0,2,-1,0,0
8649,1120501,2,-2,0,2,-2,0,0
8650,1122199,2,-3,-2,0,0,0,0
8651,1122195,2,-2,0,0,0,0,0
8652,1122194,1,-2,-2,0,0,0,0
8653,1119472,2,-3,-2,0,0,0,0
8654,1121444,3,-2,4,2,-1,0,0
8655,1122209,2,-3,-2,1,-3,0,0
8656,1119475,3,-4,2,1,-2,0,0
8657,1121448,3,-3,4,0,0,0,0
8658,1119579,3,-4,-2,0,0,0,0
8659,1119578,2,-2,-1,0,0,0,0
8660,1119670,2,-2,3,2,-2,0,0
8661,1119571,2,-1,2,2,-1,0,0
8662,1119570,1,-1,0,0,0,0,0
8663,1121813,1,-1,0,0,0,0,0
8664,1121811,3,-3,-3,1,-1,2,-1
8665,1121080,2,-2,2,0,0,0,0
8666,1121083,3,-2,3,3,-2,2,-1
8667,1122100,1,-1,0,0,0,0,0
8668,1122101,3,-4,-1,2,-2,1,-1
8669,1122102,3,-5,1,0,0,0,0
8670,1119973,1,-2,-1,0,0,0,0
8671,1119406,2,-3,-2,0,0,0,0
8672,1120168,4,-4,2,0,0,0,0
8673,1120169,3,-3,-1,0,0,0,0
8674,1122123,2,-3,-1,0,0,0,0
8675,1122121,1,-2,-2,1,-1,0,0
8676,1120917,3,-3,2,2,-3,0,0
8677,1119938,3,-4,0,0,0,2,-2
8678,1119933,1,-1,0,0,0,0,0
8679,1119932,1,-1,0,0,0,0,0
8680,1119934,3,-2,1,0,0,0,0
8681,1121034,1,-2,-2,0,0,0,0
8682,1120225,3,-2,1,0,0,0,0
8683,1121033,3,-3,-4,0,0,1,-1
8684,1119157,4,-4,-25,2,-3,2,-2
8685,1120716,3,-4,-2,0,0,0,0
8686,1120715,3,-4,2,3,-3,0,0
8687,1121782,3,-2,2,0,0,0,0
8688,1120098,3,-2,3,2,-1,0,0
8689,1120099,2,-2,0,0,0,0,0
8690,1121661,2,-2,-1,2,-2,0,0
8691,1119335,3,-3,12,0,0,0,0
8692,1120294,3,-2,-3,0,0,0,0
8693,1120295,2,-1,2,2,-1,1,-1
8694,1119843,3,-3,-6,0,0,0,0
8695,1120298,2,-3,-2,1,-2,2,-1
8696,1120546,2,-1,1,2,-1,0,0
8697,1121108,2,-4,-3,0,0,0,0
8698,1120629,3,-4,-2,2,-3,0,0
8699,1121713,2,-4,-2,2,-4,0,0
8700,1120623,3,-3,-1,0,0,0,0
8701,1120622,1,-1,0,1,-1,0,0
8702,1120621,3,-4,-5,0,0,1,-1
8703,1119839,2,-2,0,2,-2,0,0
8704,1121845,3,-2,2,1,-1,0,0
8705,1121841,2,-3,-8,2,-3,0,0
8706,1120611,3,-3,2,0,0,0,0
8707,1121248,3,-2,-1,3,-2,0,0
8708,1120620,1,-1,0,1,-1,0,0
8709,1120343,1,-2,-2,1,-2,0,0
8710,1120262,2,-1,1,0,0,0,0
8711,1120261,3,-4,-10,3,-4,0,0
8712,1120266,3,-4,1,3,-1,0,0
8713,1122218,2,-4,-7,2,-4,2,-2
8714,1120431,3,-2,7,0,0,0,0
8715,1121196,2,-2,0,0,0,0,0
8716,1122149,1,-1,0,1,-1,0,0
8717,1120124,3,-2,0,0,0,0,0
8718,1120125,2,-3,-2,2,-1,1,-1
8719,1120126,3,-2,-1,1,-2,0,0
8720,1120128,3,-4,9,3,-4,0,0
8721,1122142,2,-2,0,0,0,0,0
8722,1122143,2,-2,0,0,0,0,0
8723,1119449,2,-2,-1,1,-1,0,0
8724,1119527,2,-2,1,1,-1,0,0
8725,1119520,2,-3,-5,2,-3,0,0
8726,1119442,4,-4,6,4,-4,0,0
8727,1121433,3,-3,3,3,-2,0,0
8728,1121435,2,-3,-6,2,-3,0,0
8729,1121434,3,-2,2,2,-2,0,0
8730,1122213,3,-4,0,0,0,0,0
8731,1119119,2,-3,-3,0,0,0,0
8732,1119117,1,-3,-3,0,0,0,0
8733,1120753,1,-3,-7,0,0,0,0
8734,1120750,2,-3,-5,0,0,0,0
8735,1119989,3,-1,4,0,0,0,0
8736,1119981,3,-3,-11,1,-1,0,0
8737,1120050,3,-2,2,1,-1,0,0
8738,1120198,2,-2,1,0,0,0,0
8739,1120393,3,-2,5,2,-2,0,0
8740,1119742,2,-3,-1,0,0,1,-2
8741,1119743,1,-2,-1,0,0,0,0
8742,1120397,2,-2,6,1,-2,0,0
8743,1120395,2,-2,-1,1,-1,1,-2
8744,1119747,2,-2,0,0,0,0,0
8745,1119803,2,-3,-2,2,-3,0,0
8746,1121272,3,-2,3,2,-2,0,0
8747,1119068,1,-2,-1,1,-1,0,0
8748,1119180,2,-2,0,0,0,0,0
8749,1119060,1,-2,-2,0,0,0,0
8750,1119062,2,-2,5,2,-2,1,-2
