node,page_rank,betweenness,closeness,indegree,outdegree
mozilla/dom/HTMLVideoElement,1.565,0.0,0.547,0,0
layout/base/nsIDocumentViewerPrint,1.705,591.269,2.086,3,8
content/events/src/nsDOMEvent,6.612,71630.794,2.086,75,51
skia/SkDashPathEffect,1.565,0.0,0.547,0,0
ipc/glue/ProcessChild,1.565,0.0,2.086,0,5
sys/isa_defs,1.565,0.0,0.547,0,0
media/libtheora/include/theora/theoradec,2.363,290.309,2.086,6,5
nsprpub/pr/tests/dceemu,1.565,0.0,2.085,0,3
gfx/layers/d3d10/ColorLayerD3D10,1.848,0.25,2.086,2,7
media/webrtc/trunk/webrtc/modules/audio_coding/main/source/acm_amr,1.684,0.0,2.086,1,12
security/nss/lib/ssl/sslsnce,1.811,39688.776,2.086,6,42
mozilla/BasicEvents,1.565,0.0,0.547,0,0
js/xpconnect/src/XPCThrower,3.289,5696.375,2.086,19,7
ApplicationServices/ApplicationServices,1.565,0.0,0.547,0,0
nsILocaleService,1.565,0.0,0.547,0,0
media/webrtc/trunk/webrtc/modules/audio_coding/codecs/ilbc/energy_inverse,1.975,2.0,2.086,2,5
js/src/ctypes/libffi/testsuite/libffi.call/cls_20byte,1.565,0.0,2.085,0,3
intl/icu/source/tools/toolutil/udbgutil,1.956,8451.099,2.086,5,30
layout/base/RestyleTracker,1.777,122.926,2.086,3,20
security/sandbox/linux_seccomp,2.301,0.0,2.085,2,0
dom/plugins/base/nsPluginNativeWindowQt,1.565,0.0,2.086,0,5
other-licenses/7zstub/src/7zip/Archive/7z/7zMethodID,3.611,4401.95,2.085,7,5
content/media/ogg/OggDecoder,2.044,167.889,2.086,2,4
widget/gonk/libdisplay/BootAnimation,1.846,5865.763,2.086,4,20
security/nss/lib/pki/pkim,3.007,491.371,2.086,15,10
security/nss/lib/freebl/mpi/mpprime,16.491,54206.577,2.085,21,8
dom/base/nsWrapperCache,34.601,61958.142,2.086,187,14
security/nss/lib/ckfw/capi/constants,2.218,5.5,2.085,3,4
gfx/cairo/cairo/src/cairo-quartz-private,1.811,0.0,2.086,3,1
intl/icu/source/common/ucnv,3.813,14989.357,2.086,24,29
media/webrtc/signaling/src/softphonewrapper/CC_SIPCCService,1.993,392945.894,2.086,5,53
media/webrtc/signaling/src/sipcc/core/ccapp/capability_set,2.187,26.917,2.085,5,9
netwerk/test/ReadNTLM,1.565,0.0,2.086,0,6
mozilla/dom/SVGFEDistantLightElement,1.565,0.0,0.547,0,0
toolkit/crashreporter/google-breakpad/src/common/mac/macho_walker,2.592,6709.583,2.086,2,4
media/libopus/silk/fixed/vector_ops_FIX,2.153,0.0,2.085,5,3
ipc/chromium/src/base/message_pump_default,2.432,9928.64,2.086,3,9
modules/freetype2/include/freetype/ftoutln,4.512,4806.981,2.086,23,8
mozilla/_ipdltest/PTestLatencyParent,1.565,0.0,0.547,0,0
toolkit/crashreporter/google-breakpad/src/processor/address_map_unittest,1.565,0.0,2.086,0,7
dom/base/nsLocation,1.671,193.13,2.086,3,35
security/nss/lib/ssl/sslerrstrs,1.767,13102.747,2.086,1,10
media/libopus/silk/float/find_LTP_FLP,1.664,94.31,2.085,1,13
media/webrtc/trunk/tools/gyp/test/msvs/list_excluded/hello,1.565,0.0,0.547,0,0
gfx/skia/src/gpu/gl/GrGLStencilBuffer,1.872,22817.596,2.086,3,12
modules/freetype2/src/base/ftgasp,1.565,0.0,2.086,0,7
content/svg/content/src/SVGIntegerPairSMILType,1.881,775.277,2.086,2,8
gfx/skia/include/core/SkTSearch,10.528,824.876,2.086,28,2
layout/base/nsCounterManager,1.693,90.962,2.086,3,21
