node,page_rank,betweenness,closeness,indegree,outdegree
js/src/ctypes/libffi/src/types,2.587,0.0,3.419,0,2
nsIXMLHttpRequest,2.587,0.0,0.914,0,0
nsIPluginTag,2.587,0.0,0.914,0,0
libgnome/libgnome,2.587,0.0,0.914,0,0
ipc/chromium/src/chrome/common/ipc_sync_message_unittest,2.587,0.0,3.42,0,7
widget/public/nsIDragSessionBeOS,2.704,0.062,3.421,2,3
layout/style/nsStyleCoord,11.13,2073.264,3.421,40,15
nsprpub/pr/tests/exit,2.587,0.0,3.421,0,15
security/nss/lib/softoken/padbuf,2.687,0.0,3.42,1,5
nsIDOMXULDescriptionElement,2.587,0.0,0.914,0,0
layout/style/nsICSSPseudoComparator,2.864,0.0,3.42,3,0
modules/freetype2/include/freetype/ftrender,4.52,777.924,3.42,5,9
modules/libimg/png/mozpngconf,16.106,1680.971,3.42,8,1
intl/locale/src/nsLocaleService,2.587,0.0,3.421,0,27
mozilla/ModuleLoader,2.587,0.0,0.914,0,0
other-licenses/atk-1.0/atk/atknoopobjectfactory,2.821,0.0,3.419,1,1
media/libtheora/lib/huffdec,3.874,1752.526,3.42,4,10
intl/uconv/ucvlatin/nsUnicodeToZapfDingbat,2.976,0.033,3.421,2,7
layout/style/nsComputedDOMStyle,3.198,29141.54,3.421,10,82
widget/public/nsIPluginWidget,2.8,0.143,3.421,3,3
nsIDOMClientRectList,2.587,0.0,0.914,0,0
d3d10,2.587,0.0,0.914,0,0
nsIExtensionManager,2.587,0.0,0.914,0,0
gfx/thebes/gfxXlibSurface,3.434,66797.041,3.421,7,17
security/nss/lib/freebl/mpi/test-info,3.235,0.0,3.419,1,1
security/nss/lib/base/hashops,3.267,0.0,3.421,2,5
ipc/chromium/src/third_party/libevent/kqueue,3.602,58.435,3.42,1,11
Screen,2.587,0.0,0.914,0,0
mozilla/_ipdltest/PTestDataStructuresSubChild,2.587,0.0,0.914,0,0
netwerk/test/TestCacheService,2.587,0.0,3.421,0,13
parser/htmlparser/tests/grabpage/grabpage,2.587,0.0,3.421,0,23
content/base/src/nsContentIterator,2.723,11.98,3.421,3,20
accessible/src/msaa/nsTextAccessibleWrap,2.686,0.0,3.421,1,23
js/src/ctypes/libffi/testsuite/libffi.call/cls_64byte,2.587,0.0,3.42,0,3
nsISocketProvider,2.587,0.0,0.914,0,0
toolkit/crashreporter/google-breakpad/src/client/windows/common/auto_critical_section,5.943,0.0,3.419,2,0
content/smil/nsSMILInterval,3.316,2.14,3.421,4,9
mozilla/layout/PRenderFrameChild,2.587,0.0,0.914,0,0
mozilla/jetpack/PHandleChild,2.587,0.0,0.914,0,0
ipc/chromium/src/third_party/libevent/evdns,3.249,176.07,3.42,2,10
nsprpub/pr/tests/parent,2.587,0.0,3.421,0,13
sys/ioccom,2.587,0.0,0.914,0,0
modules/libpr0n/decoders/icon/os2/nsIconChannel,2.96,123.892,3.421,4,29
xpcom/base/nsMemoryImpl,165.652,135731.263,3.421,109,25
security/nss/lib/crmf/crmf,5.015,1396.173,3.421,15,12
nsIFormFillController,2.587,0.0,0.914,0,0
ipc/chromium/src/chrome/common/gears_api,2.587,0.0,3.42,0,2
intl/uconv/ucvlatin/nsUnicodeToISO885916,2.976,0.033,3.421,2,7
modules/freetype2/builds/amiga/include/freetype/config/ftmodule,2.587,0.0,0.914,0,0
nsIDOMGeoPositionCallback,2.587,0.0,0.914,0,0
gfx/cairo/cairo/src/cairo-path-in-fill,2.923,0.783,3.42,1,10
nsISocketTransport,2.587,0.0,0.914,0,0
security/nss/lib/certhigh/certreq,4.409,963.4,3.421,6,23
xpcom/reflect/xptcall/src/md/unix/xptcstubs_nto_arm,2.587,0.0,3.421,0,7
modules/freetype2/src/pfr/pfrdrivr,3.089,1384.744,3.42,2,14
js/src/jsobjinlines,16.401,2604.921,3.42,44,30
security/nss/lib/libpkix/pkix_pl_nss/pki/pkix_pl_x500name,9.547,1022.792,3.421,14,21
modules/libmar/src/mar_read,6.287,2047.316,3.421,4,5
js/src/yarr/pcre/chartables,6.294,0.0,3.419,2,0
security/nss/lib/freebl/genload,2.711,442.193,3.421,1,10
gfx/cairo/cairo/src/cairo-truetype-subset-private,2.587,0.0,3.42,0,2
content/xslt/src/xpath/txLocationStep,2.711,7373.284,3.421,1,17
nsIPKCS11ModuleDB,2.587,0.0,0.914,0,0
pango/pangofc-font,2.587,0.0,0.914,0,0
nsIScriptableInputStream,2.587,0.0,0.914,0,0
objsafe,2.587,0.0,0.914,0,0
layout/generic/nsLineLayout,4.317,3307.25,3.421,14,49
embedding/browser/activex/tests/IEPatcher/StdAfx,2.587,0.0,0.914,0,0
intl/uconv/ucvlatin/nsMacHebrewToUnicode,2.976,0.033,3.421,2,7
xpcom/reflect/xptcall/src/xptcall,3.911,19260.593,3.421,1,11
embedding/browser/activex/src/common/IOleCommandTargetImpl,3.252,0.0,3.42,3,0
nsIDOMDocumentType,2.587,0.0,0.914,0,0
