node,page_rank,betweenness,closeness,indegree,outdegree
widget/cocoa/nsIdleServiceX,2.393,0.0,3.285,0,2
layout/base/nsIDocumentViewerPrint,2.581,104.333,3.286,3,8
content/events/src/nsDOMEvent,9.009,241977.092,3.286,55,49
content/svg/content/src/nsSVGUnknownElement,2.435,15.089,3.286,1,15
ipc/glue/ProcessChild,2.393,0.0,3.286,0,5
sys/isa_defs,2.393,0.0,0.851,0,0
nsprpub/pr/tests/dceemu,2.393,0.0,3.285,0,3
gfx/layers/d3d10/ColorLayerD3D10,2.785,5.895,3.285,2,8
memory/mozalloc/mozalloc_undef_macro_wrappers,2.393,0.0,0.851,0,0
security/nss/lib/ssl/sslsnce,2.688,24804.651,3.286,5,48
js/src/methodjit/NunboxAssembler,2.393,0.0,0.851,0,0
js/xpconnect/src/XPCThrower,3.526,98.91,3.286,11,15
ApplicationServices/ApplicationServices,2.393,0.0,0.851,0,0
nsILocaleService,2.393,0.0,0.851,0,0
widget/gtk2/nsIImageToPixbuf,2.633,0.0,3.286,2,3
layout/base/RestyleTracker,2.635,2.754,3.286,3,18
gdk/gdkkeysyms,2.393,0.0,0.851,0,0
dom/plugins/base/nsPluginNativeWindowQt,2.393,0.0,3.286,0,7
parser/html/nsHtml5SpeculativeLoad,3.275,400.989,3.286,3,10
xpcom/tests/TestStreamUtils,2.393,0.0,3.286,0,8
security/nss/lib/ckfw/nssmkey/minst,3.071,214.218,3.285,1,7
security/nss/lib/pki/pkim,6.911,12441.469,3.286,15,10
dom/base/nsWrapperCache,10.402,6943.871,3.286,43,10
security/nss/lib/ckfw/capi/constants,3.392,5.5,3.285,3,4
gfx/cairo/cairo/src/cairo-quartz-private,2.779,0.0,3.285,3,1
media/libtremor/lib/tremor_window,2.535,2.0,3.285,1,4
js/src/methodjit/PunboxAssembler,2.393,0.0,0.851,0,0
netwerk/test/ReadNTLM,2.393,0.0,3.286,0,7
gfx/skia/include/core/SkRefDict,2.905,2.711,3.285,1,4
toolkit/crashreporter/google-breakpad/src/common/mac/macho_walker,4.473,4.0,3.284,2,3
ipc/chromium/src/base/message_pump_default,3.933,5889.902,3.285,3,8
modules/freetype2/include/freetype/ftoutln,6.319,3393.434,3.285,21,8
mozilla/_ipdltest/PTestLatencyParent,2.393,0.0,0.851,0,0
toolkit/crashreporter/google-breakpad/src/processor/address_map_unittest,2.393,0.0,3.285,0,6
dom/base/nsLocation,2.495,13.056,3.286,3,41
security/nss/lib/ssl/sslerrstrs,2.7,8030.888,3.286,1,10
gfx/graphite2/src/gr_slot,2.522,1.543,3.285,2,8
modules/freetype2/src/base/ftgasp,2.393,0.0,3.285,0,7
content/svg/content/src/SVGIntegerPairSMILType,2.768,464.454,3.286,2,9
gfx/skia/include/core/SkTSearch,7.485,0.125,3.285,21,3
extensions/spellcheck/hunspell/src/hunspell_alloc_hooks,2.393,0.0,3.285,0,1
nsIX509Cert2,2.393,0.0,0.851,0,0
layout/printing/nsPrintData,2.533,2.906,3.286,2,19
extensions/permissions/nsContentBlocker,3.03,2195.329,3.286,2,20
security/nss/cmd/modutil/install-ds,4.128,2477.287,3.286,4,10
netwerk/cookie/CookieServiceParent,2.393,0.0,3.286,0,9
xpcom/tests/SizeTest01,2.393,0.0,3.285,0,3
gfx/skia/include/gpu/GrInstanceCounter,6.771,0.0,3.284,1,1
js/src/frontend/FoldConstants,2.985,3.526,3.285,3,18
layout/style/nsCSSPropList,15.197,15570.26,3.286,8,3
gfx/cairo/libpixman/src/pixman,44.279,132653.337,3.286,51,14
nsprpub/pr/tests/lock,2.485,17.111,3.286,1,25
mfbt/Util,5.636,10703.958,3.285,5,1
xpcom/reflect/xptcall/src/md/win32/xptcinvoke,2.393,0.0,3.286,0,7
content/xslt/src/xpath/txMozillaXPathTreeWalker,5.915,48966.047,3.286,25,32
content/base/src/nsDOMFile,2.649,7743.795,3.286,5,52
modules/zlib/src/crc32,4.056,439321.263,3.285,8,9
content/xbl/src/nsXBLEventHandler,2.634,29.391,3.286,4,21
nsprpub/pr/tests/semapong,2.393,0.0,3.286,0,8
netwerk/cache/nsDeleteDir,2.687,2.467,3.286,3,13
nsprpub/pr/tests/multiacc,2.393,0.0,3.286,0,14
xpcom/glue/nsHashKeys,36.454,31254.137,3.286,121,17
gfx/skia/include/gpu/GrClipIterator,3.518,0.5,3.284,5,2
