node,page_rank,betweenness,closeness,indegree,outdegree
widget/cocoa/nsIdleServiceX,1.851,0.0,2.786,0,4
layout/base/nsIDocumentViewerPrint,2.006,163.704,2.786,3,8
content/events/src/nsDOMEvent,7.75,47725.593,2.787,61,47
content/svg/content/src/nsSVGUnknownElement,1.884,13.339,2.787,1,14
content/events/src/nsEventDispatcher,1.879,8713.4,2.786,1,30
ipc/glue/ProcessChild,1.851,0.0,2.786,0,5
sys/isa_defs,1.851,0.0,0.695,0,0
nsprpub/pr/tests/dceemu,1.851,0.0,2.786,0,3
gfx/layers/d3d10/ColorLayerD3D10,2.156,2.344,2.786,2,8
memory/mozalloc/mozalloc_undef_macro_wrappers,1.851,0.0,0.695,0,0
security/nss/lib/ssl/sslsnce,2.084,27196.635,2.787,5,45
js/src/methodjit/NunboxAssembler,1.851,0.0,0.695,0,0
js/xpconnect/src/XPCThrower,3.228,3428.415,2.787,18,15
ApplicationServices/ApplicationServices,1.851,0.0,0.695,0,0
nsILocaleService,1.851,0.0,0.695,0,0
widget/gtk2/nsIImageToPixbuf,2.049,0.0,2.786,2,3
media/webrtc/trunk/src/system_wrappers/interface/static_instance,3.216,1.75,2.786,3,2
layout/base/RestyleTracker,2.045,2.966,2.786,3,17
gdk/gdkkeysyms,1.851,0.0,0.695,0,0
dom/plugins/base/nsPluginNativeWindowQt,1.851,0.0,2.786,0,7
parser/html/nsHtml5SpeculativeLoad,2.563,456.496,2.787,3,9
xpcom/tests/TestStreamUtils,1.851,0.0,2.787,0,8
security/nss/lib/ckfw/nssmkey/minst,2.376,1238.641,2.786,1,7
security/nss/lib/pki/pkim,3.78,11656.818,2.786,15,10
media/webrtc/trunk/src/modules/video_coding/main/test/receiver_tests,2.948,410.478,2.786,7,9
dom/base/nsWrapperCache,10.281,260220.081,2.787,54,9
security/nss/lib/ckfw/capi/constants,2.624,5.5,2.786,3,4
gfx/cairo/cairo/src/cairo-quartz-private,2.173,0.0,2.786,3,1
