node,page_rank,betweenness,closeness,indegree,outdegree
modules/freetype2/include/freetype/ftoutln,7.042,2568.477,3.498,20,8
gfx/cairo/cairo/src/cairo-hash,13.299,218.322,3.498,7,7
nsIXULAppInfo,2.68,0.0,0.951,0,0
gfx/cairo/cairo/src/cairo-hull,2.866,0.65,3.498,1,13
intl/uconv/tests/nsconv,2.68,0.0,3.499,0,13
nsIThreadPool,2.68,0.0,0.951,0,0
gfx/2d/HelpersD2D,6.845,7.6,3.497,4,8
nsICryptoHMAC,2.68,0.0,0.951,0,0
security/nss/lib/libpkix/pkix_pl_nss/module/pkix_pl_aiamgr,6.336,975.427,3.499,6,29
gfx/cairo/cairo/src/cairo-qt-surface,2.68,0.0,3.498,0,23
xpcom/ds/nsTimelineService,3.123,195.078,3.498,2,9
ipc/chromium/src/base/gfx/native_theme_unittest,2.68,0.0,3.498,0,3
netwerk/protocol/about/nsAboutBlank,2.877,30.699,3.499,2,15
tools/reorder/histogram,3.249,0.0,3.497,1,3
widget/src/qt/nsQtKeyUtils,4.591,471.727,3.498,3,5
gfx/cairo/cairo/src/cairo-device-private,20.611,3130.789,3.498,11,7
dom/plugins/ipc/PluginScriptableObjectUtils,3.495,368.092,3.499,4,14
nsIDOMMediaList,2.68,0.0,0.951,0,0
content/svg/content/src/nsSVGValue,4.04,31.767,3.499,8,11
xpcom/string/public/nsTPromiseFlatString,14.458,8369.501,3.499,14,4
modules/freetype2/src/psaux/psconv,4.402,85.487,3.497,4,7
netwerk/base/src/nsAuthInformationHolder,3.187,0.0,3.499,3,7
security/nss/lib/zlib/uncompr,2.907,0.0,3.497,1,4
browser/components/dirprovider/nsBrowserDirectoryServiceDefs,2.776,0.0,3.498,1,0
gfx/thebes/gfxFT2Fonts,3.012,56274.287,3.499,5,43
jpeg/jfdctflt,2.68,0.0,3.498,0,4
mozilla/jetpack/PJetpackParent,2.68,0.0,0.951,0,0
security/nss/cmd/libpkix/pkix_pl/pki/test_generalname,2.712,2.154,3.498,1,8
content/events/src/nsEventListenerService,2.858,47.372,3.499,3,31
js/src/assembler/TestMain,2.68,0.0,3.497,0,11
db/mork/src/morkThumb,3.219,45.06,3.499,3,15
gfx/cairo/cairo/src/cairo-svg-surface-private,2.752,0.0,3.498,1,6
js/src/nanojit/LIRopcode,2.68,0.0,0.951,0,0
toolkit/crashreporter/google-breakpad/src/processor/simple_symbol_supplier,3.587,1362.593,3.498,4,8
gfx/cairo/cairo/test/leaky_polygon,2.68,0.0,3.498,0,3
content/svg/content/src/SVGAnimatedLengthList,4.474,4741.826,3.499,10,11
parser/htmlparser/public/nsIParser,13.06,1431.075,3.499,69,10
nsprpub/pr/src/io/prmapopt,3.107,9.934,3.499,1,9
mozilla/Omnijar,2.68,0.0,0.951,0,0
js/src/jsdtoa,10.321,75415.59,3.498,4,15
nsICertOverrideService,2.68,0.0,0.951,0,0
xpcom/tests/static-checker/TestStackTemplate,2.68,0.0,3.498,0,2
intl/uconv/ucvlatin/8859-11,2.68,0.0,0.951,0,0
jpeg/jdatadst,2.68,0.0,3.498,0,5
gfx/angle/src/compiler/OutputHLSL,4.525,16.683,3.497,4,13
nsIDocumentLoaderFactory,2.68,0.0,0.951,0,0
gelf,2.68,0.0,0.951,0,0
gfx/src/nsSystemFontsWin,2.929,0.0,3.499,1,10
gfx/cairo/cairo/src/cairo-region,10.448,209.352,3.498,16,11
widget/src/windows/JumpListItem,3.016,277.572,3.499,3,23
modules/freetype2/src/sfnt/sfntpic,4.111,0.996,3.497,4,4
unicode/plurfmt,2.68,0.0,0.951,0,0
shlguid,2.68,0.0,0.951,0,0
ipc/chromium/src/base/sys_string_conversions,30.644,1029.489,3.498,13,5
dom/indexedDB/Key,2.77,0.0,3.499,1,5
layout/svg/base/src/nsSVGFilterInstance,2.854,94.253,3.499,3,36
layout/generic/TextOverflow,2.801,115.456,3.499,2,39
gfx/angle/src/compiler/osinclude,58.173,27337.5,3.497,6,1
intl/uconv/ucvlatin/nsUnicodeToCP866,3.084,0.033,3.499,2,7
security/nss/lib/util/dersubr,4.037,1795.967,3.499,8,12
sys/mpctl,2.68,0.0,0.951,0,0
media/libvpx/vp8/decoder/decoderthreading,2.84,0.111,3.497,2,3
toolkit/crashreporter/client/crashreporter_unix_common,3.896,556.158,3.498,1,4
AccessibleApplication,2.68,0.0,0.951,0,0
nsICharRepresentable,2.68,0.0,0.951,0,0
intl/uconv/ucvibm/nsCP850ToUnicode,3.084,0.033,3.499,2,7
nsIProgrammingLanguage,2.68,0.0,0.951,0,0
toolkit/crashreporter/google-breakpad/src/processor/linked_ptr,4.531,0.0,3.497,7,0
xpctest_domstring,2.68,0.0,0.951,0,0
nsIDOMSVGPoint,2.68,0.0,0.951,0,0
nsIAccessibleHyperLink,2.68,0.0,0.951,0,0
security/nss/lib/ckfw/capi/cobject,3.402,1143.795,3.499,3,16
parser/htmlparser/public/nsIContentSink,9.095,462.214,3.499,40,8
nsIXPIInstallInfo,2.68,0.0,0.951,0,0
unknwn,2.68,0.0,0.951,0,0
dom/ipc/TabMessageUtils,3.075,64.375,3.499,2,8
js/src/analysis-tests/green-toredptr,6.476,6.0,3.497,4,2
ipc/ipdl/test/cxx/TestShmem,3.739,0.0,3.498,1,3
layout/xul/base/src/nsIScrollbarFrame,3.0,0.0,3.498,6,1
xpcom/string/src/nsStringComparator,2.68,0.0,3.499,0,9
security/manager/pki/src/nsNSSDialogHelper,3.316,0.0,3.499,3,8
xpcom/build/nsXPCOM,209.076,7118.147,3.499,135,7
mach/notify,2.68,0.0,0.951,0,0
xpcom/tests/TestPipes,2.68,0.0,3.499,0,21
gfx/thebes/nsCoreAnimationSupport,2.928,0.0,3.498,1,0
modules/libpr0n/decoders/nsIconDecoder,6.104,704.451,3.499,2,13
unicode/coll,2.68,0.0,0.951,0,0
js/src/analysis-tests/misdeclared-red-funcptr,2.68,0.0,3.497,0,1
security/nss/lib/freebl/mpi/tests/mptest-9,2.68,0.0,3.497,0,2
netwerk/protocol/about/nsAboutCache,2.77,0.0,3.499,1,26
mozilla/net/WebSocketChannelChild,2.68,0.0,0.951,0,0
toolkit/crashreporter/google-breakpad/src/google_breakpad/common/minidump_exception_mac,6.344,0.0,3.497,1,1
widget/src/gtk2/gtkdrawing,3.542,0.0,3.498,3,0
mozilla/ipc/PDocumentRendererShmemChild,2.68,0.0,0.951,0,0
mozilla/_ipdltest/PTestRPCRacesParent,2.68,0.0,0.951,0,0
nsIXMLHttpRequest,2.68,0.0,0.951,0,0
security/nss/lib/libpkix/pkix/certsel/pkix_certselector,9.679,1586.507,3.498,27,17
nsIPluginTag,2.68,0.0,0.951,0,0
xpcom/components/ModuleLoader,2.68,0.0,3.498,0,1
gfx/thebes/gfxD2DSurface,3.169,52.612,3.499,3,10
xpcom/reflect/xptcall/src/md/unix/xptcstubs_x86_64_linux,2.68,0.0,3.499,0,9
ipc/chromium/src/chrome/common/ipc_sync_message_unittest,2.68,0.0,3.498,0,7
parser/expat/lib/nametab,3.555,0.0,3.496,1,0
gfx/src/mozilla-decoder,2.841,0.0,3.499,1,15
nsprpub/pr/include/md/_os2_errors,2.68,0.0,3.499,0,2
layout/style/nsStyleCoord,7.872,1571.221,3.499,40,14
nsIQueryContentEventResult,2.68,0.0,0.951,0,0
gfx/angle/src/compiler/localintermediate,13.412,11065.506,3.498,6,8
nsprpub/pr/tests/exit,2.68,0.0,3.499,0,15
mozilla/Preferences,2.68,0.0,0.951,0,0
content/base/src/nsAtomListUtils,7.413,0.0,3.499,4,3
nsIDOMXULDescriptionElement,2.68,0.0,0.951,0,0
nsIStreamCipher,2.68,0.0,0.951,0,0
layout/style/nsICSSPseudoComparator,2.965,0.0,3.498,3,0
modules/libimg/png/mozpngconf,18.293,1808.754,3.498,8,1
other-licenses/atk-1.0/atk/atkimage,3.734,861.65,3.498,3,2
intl/locale/src/nsLocaleService,2.68,0.0,3.499,0,26
mozilla/ModuleLoader,2.68,0.0,0.951,0,0
mozilla/plugins/AStream,2.68,0.0,0.951,0,0
xpcom/glue/arm,4.66,0.0,3.498,1,2
extensions/universalchardet/src/base/JISFreq,2.68,0.0,0.951,0,0
other-licenses/atk-1.0/atk/atknoopobjectfactory,2.964,0.0,3.497,1,1
widget/src/os2/nsClipboard,3.301,220.067,3.499,5,14
media/libtheora/lib/huffdec,4.013,1911.872,3.498,4,10
media/libtremor/lib/mdct_lookup,2.979,0.0,3.497,1,2
intl/uconv/ucvlatin/nsUnicodeToZapfDingbat,3.084,0.033,3.499,2,7
ipc/chromium/src/base/process_win,2.68,0.0,3.498,0,4
layout/style/nsComputedDOMStyle,3.329,28153.928,3.499,11,77
nsIDOMClientRectList,2.68,0.0,0.951,0,0
