node,page_rank,betweenness,closeness,indegree,outdegree
modules/zlib/src/zutil,10.393,107402.357,2.393,10,11
layout/base/nsIDocumentViewerPrint,1.789,399.142,2.394,3,7
content/events/src/nsDOMEvent,5.93,42366.749,2.394,53,47
accessible/src/mac/mozTextAccessible,1.627,0.0,2.393,0,1
skia/SkDashPathEffect,1.627,0.0,0.626,0,0
ipc/glue/ProcessChild,1.627,0.0,2.394,0,5
sys/isa_defs,1.627,0.0,0.626,0,0
media/libtheora/include/theora/theoradec,2.47,1.367,2.393,6,4
nsprpub/pr/tests/dceemu,1.627,0.0,2.393,0,3
gfx/layers/d3d10/ColorLayerD3D10,1.873,1.625,2.393,2,8
tools/trace-malloc/adreader,12.164,0.0,2.393,2,1
security/nss/lib/ssl/sslsnce,1.836,31159.275,2.394,5,43
js/src/methodjit/NunboxAssembler,1.627,0.0,0.626,0,0
media/webrtc/trunk/src/modules/audio_processing/aecm/aecm_core_neon_offsets,1.627,0.0,2.393,0,1
js/xpconnect/src/XPCThrower,2.977,1879.615,2.394,18,13
ApplicationServices/ApplicationServices,1.627,0.0,0.626,0,0
nsILocaleService,1.627,0.0,0.626,0,0
widget/gtk2/nsIImageToPixbuf,2.249,2499.826,2.394,6,3
media/mtransport/third_party/nICEr/src/ice/ice_reg,2.166,0.0,2.393,4,0
media/webrtc/trunk/src/system_wrappers/interface/static_instance,2.918,3.75,2.393,3,2
layout/base/RestyleTracker,2.292,11404.383,2.394,9,22
gdk/gdkkeysyms,1.627,0.0,0.626,0,0
dom/plugins/base/nsPluginNativeWindowQt,1.627,0.0,2.394,0,5
content/media/ogg/OggDecoder,2.122,278.82,2.393,2,4
security/nss/lib/ckfw/nssmkey/minst,2.088,620.234,2.393,1,7
security/nss/lib/pki/pkim,3.099,1905.055,2.393,15,10
media/webrtc/trunk/src/modules/video_coding/main/test/receiver_tests,2.596,370.42,2.393,7,9
security/nss/lib/freebl/mpi/mpprime,17.023,46123.117,2.393,21,8
dom/base/nsWrapperCache,15.46,4488.655,2.394,115,4
security/nss/lib/ckfw/capi/constants,2.306,5.5,2.393,3,4
gfx/cairo/cairo/src/cairo-quartz-private,1.887,0.0,2.393,3,1
media/libtremor/lib/tremor_window,1.731,2.0,2.393,1,4
gfx/skia/src/gpu/effects/GrColorTableEffect,1.705,54.072,2.393,2,24
media/webrtc/signaling/src/softphonewrapper/CC_SIPCCService,2.121,409071.824,2.394,5,52
media/webrtc/signaling/src/sipcc/core/ccapp/capability_set,2.354,219.745,2.393,5,8
netwerk/test/ReadNTLM,1.627,0.0,2.394,0,5
content/svg/content/src/nsSVGLength2,4.117,55628.205,2.394,31,37
